TaskID,Region,StartHour
25499,RegionB,0
31463,RegionC,0
35004,RegionB,0
36115,RegionC,0
39228,RegionB,0
39265,RegionA,0
41339,RegionA,0
15197,RegionD,1
17221,RegionB,1
23761,RegionB,1
27907,RegionB,1
39430,RegionA,1
5647,RegionA,2
9020,RegionA,2
9101,RegionB,2
19780,RegionB,2
22958,RegionA,2
30518,RegionB,2
33849,RegionB,2
40083,RegionC,2
49578,RegionA,2
3460,RegionB,3
12031,RegionA,3
15383,RegionA,3
36551,RegionA,3
41851,RegionA,3
43098,RegionB,3
4717,RegionA,4
11311,RegionB,4
27475,RegionC,4
47472,RegionA,4
1970,RegionB,5
5714,RegionA,5
10404,RegionA,5
15020,RegionD,5
18195,RegionE,5
20876,RegionC,5
36976,RegionA,5
39287,RegionB,5
3300,RegionA,6
22468,RegionB,6
23962,RegionA,6
29186,RegionB,6
30787,RegionB,6
37945,RegionC,6
42068,RegionB,6
44529,RegionB,6
48504,RegionB,6
49057,RegionC,6
17660,RegionB,7
37127,RegionA,7
9159,RegionB,8
10916,RegionA,8
13615,RegionC,8
14959,RegionB,8
19256,RegionC,8
22425,RegionC,8
24987,RegionB,8
26407,RegionC,8
26744,RegionA,8
30540,RegionE,8
34564,RegionB,8
34725,RegionE,8
42488,RegionB,8
43357,RegionC,8
20428,RegionB,9
23705,RegionE,9
29231,RegionB,9
30858,RegionB,9
45702,RegionB,9
16550,RegionA,10
18475,RegionB,10
20030,RegionC,10
42842,RegionB,10
44470,RegionB,10
673,RegionC,11
11030,RegionB,11
11346,RegionC,11
13810,RegionB,11
18177,RegionA,11
35164,RegionC,11
47136,RegionA,11
48596,RegionB,11
5291,RegionC,12
8480,RegionC,12
11183,RegionF,12
13050,RegionB,12
16083,RegionF,12
29158,RegionA,12
49086,RegionA,12
9291,RegionB,13
25313,RegionA,13
26152,RegionF,13
32064,RegionA,13
32717,RegionC,13
48401,RegionC,13
3249,RegionB,14
10943,RegionB,14
10946,RegionC,14
14997,RegionB,14
15603,RegionC,14
26596,RegionC,14
26769,RegionA,14
29510,RegionD,14
33683,RegionA,14
36591,RegionB,14
38429,RegionB,14
39586,RegionA,14
49368,RegionA,14
9326,RegionC,15
12079,RegionB,15
14132,RegionB,15
14243,RegionB,15
14355,RegionB,15
19878,RegionB,15
19938,RegionC,15
21961,RegionA,15
27050,RegionC,15
31840,RegionA,15
37404,RegionB,15
44095,RegionB,15
45568,RegionE,15
47596,RegionA,15
2196,RegionD,16
3362,RegionC,16
9378,RegionC,16
14205,RegionC,16
18322,RegionA,16
21852,RegionB,16
37928,RegionA,16
45612,RegionC,16
45744,RegionC,16
5204,RegionB,17
13807,RegionA,17
15352,RegionB,17
15705,RegionB,17
17762,RegionE,17
18424,RegionC,17
25713,RegionA,17
45357,RegionC,17
13021,RegionA,18
13772,RegionC,18
15478,RegionC,18
25683,RegionB,18
35095,RegionB,18
41246,RegionA,18
42385,RegionC,18
2521,RegionB,19
8048,RegionA,19
21662,RegionB,19
23535,RegionA,19
32867,RegionC,19
33853,RegionA,19
34504,RegionA,19
25241,RegionA,20
26204,RegionD,20
33214,RegionB,20
45272,RegionC,20
6540,RegionA,21
13853,RegionA,21
27584,RegionA,21
43009,RegionC,21
46454,RegionA,21
2639,RegionB,22
7029,RegionC,22
7092,RegionA,22
12073,RegionC,22
20103,RegionC,22
25578,RegionB,22
25602,RegionA,22
35934,RegionA,22
37313,RegionB,22
37909,RegionB,22
49303,RegionB,22
49353,RegionF,22
4434,RegionA,23
8755,RegionC,23
22173,RegionB,23
25492,RegionB,23
28402,RegionA,23
31947,RegionB,23
32974,RegionA,23
33879,RegionF,23
34086,RegionB,23
34759,RegionA,23
14085,RegionB,24
15952,RegionA,24
49177,RegionA,24
10202,RegionB,25
10786,RegionB,25
11611,RegionA,25
18806,RegionA,25
30801,RegionC,25
40125,RegionA,25
9917,RegionF,26
10227,RegionA,26
18149,RegionE,26
42341,RegionA,26
48267,RegionB,26
49874,RegionB,26
1230,RegionB,27
1397,RegionA,27
3919,RegionB,27
4880,RegionA,27
6834,RegionE,27
23414,RegionB,27
33364,RegionB,27
37669,RegionC,27
39756,RegionD,27
44000,RegionD,27
45166,RegionC,27
49651,RegionB,27
7282,RegionA,28
14266,RegionF,28
21672,RegionA,28
22261,RegionC,28
38617,RegionA,28
41584,RegionB,28
