TaskID,Region,StartHour
1,RegionD,456
2,RegionB,1126
3,RegionB,914
4,RegionC,419
5,RegionF,2233
6,RegionA,1728
7,RegionA,122
8,RegionA,895
9,RegionB,2069
10,RegionE,108
11,RegionF,814
12,RegionF,2232
13,RegionA,902
14,RegionB,1139
15,RegionB,653
16,RegionE,1731
17,RegionD,1138
18,RegionC,881
19,RegionA,418
20,RegionA,1556
21,RegionA,1470
22,RegionC,1083
23,RegionB,1881
24,RegionF,511
25,RegionF,322
26,RegionB,1200
27,RegionD,1481
28,RegionD,787
29,RegionE,284
30,RegionC,933
31,RegionE,326
32,RegionA,413
33,RegionA,1138
34,RegionB,1494
35,RegionB,1516
36,RegionD,858
37,RegionF,1093
38,RegionF,292
39,RegionB,700
40,RegionD,1002
41,RegionB,1893
42,RegionC,1105
43,RegionE,2281
44,RegionC,1328
45,RegionF,938
46,RegionA,1292
47,RegionB,1096
48,RegionB,864
49,RegionE,1288
50,RegionC,2044
51,RegionF,1879
52,RegionA,1084
53,RegionA,1010
54,RegionD,2299
55,RegionE,1076
56,RegionE,2394
57,RegionE,2390
58,RegionF,1482
59,RegionA,566
60,RegionD,2021
61,RegionB,192
62,RegionB,626
63,RegionE,655
64,RegionF,1729
65,RegionA,260
66,RegionA,1563
67,RegionD,1917
68,RegionD,1029
69,RegionE,47
70,RegionF,469
71,RegionF,2199
72,RegionA,1393
73,RegionA,1202
74,RegionC,647
75,RegionD,13
76,RegionE,1078
77,RegionF,731
78,RegionA,435
79,RegionD,1222
80,RegionD,2079
81,RegionD,814
82,RegionB,1531
83,RegionC,2209
84,RegionF,2
85,RegionB,1327
86,RegionB,79
87,RegionB,1486
88,RegionC,980
89,RegionC,986
90,RegionF,322
91,RegionF,1990
92,RegionA,2181
93,RegionA,525
94,RegionD,1946
95,RegionE,676
96,RegionE,2161
97,RegionF,1733
98,RegionA,2208
99,RegionD,823
100,RegionD,1276
101,RegionC,1529
102,RegionD,2119
103,RegionE,495
104,RegionF,920
105,RegionA,1384
106,RegionA,2268
107,RegionB,902
108,RegionB,290
109,RegionE,241
110,RegionC,276
111,RegionA,1353
112,RegionA,2105
113,RegionB,1140
114,RegionE,1988
115,RegionC,2208
116,RegionC,2338
117,RegionF,1936
118,RegionA,1937
119,RegionB,779
120,RegionB,397
121,RegionE,1765
122,RegionD,1734
123,RegionE,1912
124,RegionA,221
125,RegionD,403
126,RegionA,1649
127,RegionD,1389
128,RegionB,1018
129,RegionC,779
130,RegionF,1837
131,RegionA,1728
132,RegionA,1140
133,RegionB,1023
134,RegionB,1815
135,RegionE,401
136,RegionC,2214
137,RegionA,382
138,RegionA,681
139,RegionB,1989
140,RegionC,875
141,RegionD,240
142,RegionC,1552
143,RegionD,1599
144,RegionA,1863
145,RegionB,1732
146,RegionD,2276
147,RegionE,1993
148,RegionC,777
149,RegionE,891
150,RegionF,2372
151,RegionC,2220
152,RegionA,1284
153,RegionB,205
154,RegionE,1952
155,RegionF,2175
156,RegionD,232
157,RegionB,328
158,RegionA,280
159,RegionD,278
160,RegionE,963
161,RegionD,491
162,RegionF,1008
163,RegionF,162
164,RegionC,335
165,RegionB,2390
166,RegionD,2141
167,RegionD,1068
168,RegionC,1286
169,RegionC,1087
170,RegionA,536
171,RegionD,1228
172,RegionB,1295
173,RegionB,38
174,RegionD,2306
175,RegionC,300
176,RegionF,873
177,RegionC,1086
178,RegionA,1429
179,RegionB,1000
180,RegionD,1167
181,RegionC,1794
182,RegionF,1239
183,RegionA,2166
184,RegionA,2271
185,RegionB,424
186,RegionB,1083
187,RegionB,438
188,RegionF,2266
189,RegionE,1115
190,RegionA,862
191,RegionD,1404
192,RegionB,1081
193,RegionE,2001
194,RegionD,208
195,RegionC,1734
196,RegionA,180
197,RegionA,1366
198,RegionA,1072
199,RegionB,1809
200,RegionE,1751
201,RegionF,39
202,RegionD,308
203,RegionB,610
204,RegionD,147
205,RegionB,2385
206,RegionE,606
207,RegionD,522
208,RegionC,1262
209,RegionF,163
210,RegionA,860
211,RegionD,1022
212,RegionD,421
213,RegionD,2293
214,RegionD,633
215,RegionD,665
216,RegionA,1688
217,RegionA,734
218,RegionD,1360
219,RegionC,1016
220,RegionD,652
221,RegionF,442
222,RegionF,158
223,RegionA,911
224,RegionA,1885
225,RegionC,1250
226,RegionB,913
227,RegionC,791
228,RegionF,1344
229,RegionA,284
230,RegionA,1438
231,RegionD,2086
232,RegionC,2196
233,RegionD,113
234,RegionC,1069
235,RegionE,2378
236,RegionA,156
237,RegionA,1779
238,RegionC,1284
239,RegionD,2094
240,RegionC,1577
241,RegionF,778
242,RegionA,181
243,RegionD,1786
244,RegionA,2129
245,RegionD,807
246,RegionD,1766
247,RegionC,1352
248,RegionF,1285
249,RegionB,510
250,RegionD,1230
251,RegionD,1266
252,RegionE,1672
253,RegionD,1648
254,RegionF,1211
255,RegionF,521
256,RegionA,1722
257,RegionD,1552
258,RegionD,712
259,RegionE,2331
260,RegionE,1663
261,RegionF,1
262,RegionA,1175
263,RegionA,1760
264,RegionD,1319
265,RegionC,1809
266,RegionD,875
267,RegionF,1938
268,RegionF,695
269,RegionC,347
270,RegionB,2111
271,RegionD,1372
272,RegionB,962
273,RegionE,1271
274,RegionC,815
275,RegionA,100
276,RegionA,1002
277,RegionB,298
278,RegionC,1697
279,RegionE,2357
280,RegionC,1572
281,RegionF,1636
282,RegionA,604
283,RegionD,22
284,RegionB,1741
285,RegionB,720
286,RegionE,2121
287,RegionE,205
288,RegionA,1020
289,RegionA,1869
290,RegionA,1903
291,RegionD,2175
292,RegionE,1299
293,RegionE,2067
294,RegionF,2244
295,RegionA,651
296,RegionD,1944
297,RegionC,1061
298,RegionB,1135
299,RegionE,1984
300,RegionF,979
301,RegionA,1801
302,RegionA,1170
303,RegionA,1112
304,RegionC,1309
305,RegionE,330
306,RegionC,617
307,RegionD,1568
308,RegionB,625
309,RegionD,876
310,RegionB,1699
311,RegionC,1355
312,RegionE,1908
313,RegionE,255
314,RegionF,1720
315,RegionA,2392
316,RegionD,80
317,RegionD,1558
318,RegionD,24
319,RegionE,1223
320,RegionF,1716
321,RegionB,2236
322,RegionD,903
323,RegionB,898
324,RegionC,1785
325,RegionD,118
326,RegionE,1376
327,RegionF,1656
328,RegionC,676
329,RegionB,522
330,RegionD,2187
331,RegionB,1613
332,RegionE,2311
333,RegionF,111
334,RegionA,1755
335,RegionA,1891
336,RegionA,205
337,RegionC,1552
338,RegionD,866
339,RegionE,1338
340,RegionF,1552
341,RegionA,1726
342,RegionB,335
343,RegionC,79
344,RegionE,2209
345,RegionC,1433
346,RegionC,281
347,RegionA,164
348,RegionA,1012
349,RegionA,83
350,RegionD,624
351,RegionB,517
352,RegionE,468
353,RegionF,892
354,RegionA,1049
355,RegionB,687
356,RegionD,469
357,RegionB,1274
358,RegionC,2370
359,RegionC,1277
360,RegionA,1537
