Region,Hour,GPU_Demand
RegionA,0,31
RegionA,1,38
RegionA,2,81
RegionA,3,119
RegionA,4,143
RegionA,5,147
RegionA,6,124
RegionA,7,146
RegionA,8,188
RegionA,9,176
RegionA,10,151
RegionA,11,164
RegionA,12,168
RegionA,13,137
RegionA,14,97
RegionA,15,77
RegionA,16,161
RegionA,17,181
RegionA,18,175
RegionA,19,441
RegionA,20,444
RegionA,21,464
RegionA,22,466
RegionA,23,583
RegionA,24,513
RegionA,25,281
RegionA,26,102
RegionA,27,75
RegionA,28,78
RegionA,29,205
RegionA,30,339
RegionA,31,403
RegionA,32,366
RegionA,33,335
RegionA,34,278
RegionA,35,187
RegionA,36,234
RegionA,37,297
RegionA,38,251
RegionA,39,281
RegionA,40,238
RegionA,41,132
RegionA,42,163
RegionA,43,214
RegionA,44,266
RegionA,45,224
RegionA,46,289
RegionA,47,312
RegionA,48,385
RegionA,49,307
RegionA,50,343
RegionA,51,261
RegionA,52,265
RegionA,53,283
RegionA,54,302
RegionA,55,307
RegionA,56,86
RegionA,57,128
RegionA,58,113
RegionA,59,68
RegionA,60,60
RegionA,61,76
RegionA,62,165
RegionA,63,275
RegionA,64,85
RegionA,65,64
RegionA,66,206
RegionA,67,216
RegionA,68,196
RegionA,69,291
RegionA,70,320
RegionA,71,262
RegionA,72,333
RegionA,73,280
RegionA,74,272
RegionA,75,238
RegionA,76,189
RegionA,77,238
RegionA,78,275
RegionA,79,262
RegionA,80,234
RegionA,81,176
RegionA,82,266
RegionA,83,299
RegionA,84,288
RegionA,85,275
RegionA,86,257
RegionA,87,190
RegionA,88,205
RegionA,89,131
RegionA,90,135
RegionA,91,254
RegionA,92,227
RegionA,93,251
RegionA,94,270
RegionA,95,251
RegionA,96,113
RegionA,97,147
RegionA,98,170
RegionA,99,160
RegionA,100,153
RegionA,101,141
RegionA,102,297
RegionA,103,322
RegionA,104,305
RegionA,105,307
RegionA,106,335
RegionA,107,124
RegionA,108,96
RegionA,109,132
RegionA,110,149
RegionA,111,89
RegionA,112,112
RegionA,113,87
RegionA,114,102
RegionA,115,80
RegionA,116,82
RegionA,117,51
RegionA,118,145
RegionA,119,275
RegionA,120,291
RegionA,121,343
RegionA,122,309
RegionA,123,263
RegionA,124,277
RegionA,125,181
RegionA,126,192
RegionA,127,178
RegionA,128,141
RegionA,129,94
RegionA,130,104
RegionA,131,88
RegionA,132,87
RegionA,133,70
RegionA,134,60
RegionA,135,42
RegionA,136,105
RegionA,137,131
RegionA,138,203
RegionA,139,246
RegionA,140,375
RegionA,141,291
RegionA,142,168
RegionA,143,103
RegionA,144,125
RegionA,145,127
RegionA,146,134
RegionA,147,124
RegionA,148,267
RegionA,149,245
RegionA,150,420
RegionA,151,380
RegionA,152,298
RegionA,153,336
RegionA,154,322
RegionA,155,297
RegionA,156,305
RegionA,157,303
RegionA,158,266
RegionA,159,213
RegionA,160,196
RegionA,161,240
RegionA,162,250
RegionA,163,337
RegionA,164,296
RegionA,165,347
RegionA,166,364
RegionA,167,240
RegionA,168,273
RegionA,169,270
RegionA,170,399
RegionA,171,248
RegionA,172,231
RegionA,173,288
RegionA,174,155
RegionA,175,372
RegionA,176,273
RegionA,177,363
RegionA,178,271
RegionA,179,369
RegionA,180,260
RegionA,181,213
RegionA,182,174
RegionA,183,206
RegionA,184,303
RegionA,185,327
RegionA,186,273
RegionA,187,92
RegionA,188,115
RegionA,189,117
RegionA,190,200
RegionA,191,210
RegionA,192,238
RegionA,193,265
RegionA,194,197
RegionA,195,190
RegionA,196,178
RegionA,197,92
RegionA,198,68
RegionA,199,34
RegionA,200,42
RegionA,201,55
RegionA,202,209
RegionA,203,320
RegionA,204,374
RegionA,205,353
RegionA,206,174
RegionA,207,108
RegionA,208,100
RegionA,209,193
RegionA,210,184
RegionA,211,188
RegionA,212,58
RegionA,213,160
RegionA,214,132
RegionA,215,132
RegionA,216,107
RegionA,217,163
RegionA,218,179
RegionA,219,219
RegionA,220,141
RegionA,221,170
RegionA,222,145
RegionA,223,124
RegionA,224,217
RegionA,225,250
RegionA,226,231
RegionA,227,330
RegionA,228,326
RegionA,229,297
RegionA,230,305
RegionA,231,225
RegionA,232,362
RegionA,233,325
RegionA,234,247
RegionA,235,140
RegionA,236,140
RegionA,237,108
RegionA,238,218
RegionA,239,208
RegionA,240,195
RegionA,241,198
RegionA,242,182
RegionA,243,52
RegionA,244,83
RegionA,245,265
RegionA,246,270
RegionA,247,271
RegionA,248,260
RegionA,249,294
RegionA,250,201
RegionA,251,116
RegionA,252,155
RegionA,253,234
RegionA,254,252
RegionA,255,369
RegionA,256,425
RegionA,257,329
RegionA,258,251
RegionA,259,210
RegionA,260,484
RegionA,261,365
RegionA,262,405
RegionA,263,366
RegionA,264,319
RegionA,265,273
RegionA,266,225
RegionA,267,212
RegionA,268,183
RegionA,269,207
RegionA,270,282
RegionA,271,136
RegionA,272,96
RegionA,273,138
RegionA,274,144
RegionA,275,188
RegionA,276,199
RegionA,277,194
RegionA,278,119
RegionA,279,177
RegionA,280,258
RegionA,281,312
RegionA,282,339
RegionA,283,357
RegionA,284,271
RegionA,285,208
RegionA,286,164
RegionA,287,73
RegionA,288,124
RegionA,289,134
RegionA,290,139
RegionA,291,125
RegionA,292,134
RegionA,293,129
RegionA,294,119
RegionA,295,123
RegionA,296,190
RegionA,297,217
RegionA,298,210
RegionA,299,128
RegionA,300,129
RegionA,301,158
RegionA,302,148
RegionA,303,139
RegionA,304,148
RegionA,305,118
RegionA,306,153
RegionA,307,164
RegionA,308,227
RegionA,309,196
RegionA,310,196
RegionA,311,124
RegionA,312,91
RegionA,313,103
RegionA,314,236
RegionA,315,186
RegionA,316,270
RegionA,317,165
RegionA,318,270
RegionA,319,198
RegionA,320,276
RegionA,321,353
RegionA,322,238
RegionA,323,204
RegionA,324,144
RegionA,325,228
RegionA,326,186
RegionA,327,266
RegionA,328,376
RegionA,329,383
RegionA,330,216
RegionA,331,120
RegionA,332,152
RegionA,333,252
RegionA,334,307
RegionA,335,348
RegionA,336,211
RegionA,337,353
RegionA,338,340
RegionA,339,312
RegionA,340,282
RegionA,341,91
RegionA,342,85
RegionA,343,71
RegionA,344,51
RegionA,345,57
RegionA,346,181
RegionA,347,236
RegionA,348,283
RegionA,349,203
RegionA,350,211
RegionA,351,219
RegionA,352,150
RegionA,353,97
RegionA,354,107
RegionA,355,105
RegionA,356,192
RegionA,357,187
RegionA,358,160
RegionA,359,72
RegionA,360,126
RegionA,361,167
RegionA,362,174
RegionA,363,152
RegionA,364,292
RegionA,365,360
RegionA,366,449
RegionA,367,328
RegionA,368,328
RegionA,369,389
RegionA,370,292
