Hour,n_tasks,gpu_hours
0,19,2104.7333333333336
1,18,2831.166666666667
2,28,3144.4333333333334
3,16,1904.4833333333333
4,14,1315.1333333333334
5,21,1617.4666666666667
6,23,1538.7666666666667
7,17,2319.2333333333336
8,24,2055.45
9,17,1047.15
10,19,2069.4166666666665
11,25,1911.9166666666667
12,18,1805.1166666666666
13,25,2860.6
14,25,1536.4833333333333
15,28,2751.5
16,18,690.4
17,25,2674.983333333333
18,22,2119.3333333333335
19,26,4049.0166666666664
20,19,2045.9166666666667
21,21,2819.9166666666665
22,17,917.5166666666667
23,21,1134.25
24,19,2642.25
25,17,922.6333333333333
26,24,2667.383333333333
27,24,1795.95
28,27,3074.8
29,29,3397.5
30,15,1336.8666666666668
31,15,656.2166666666667
32,33,3740.866666666667
33,23,2453.1833333333334
34,34,4660.566666666667
35,15,1361.4833333333333
36,15,2790.233333333333
37,16,1346.5166666666667
38,20,1041.15
39,27,1337.9166666666667
40,25,3094.2
41,16,2928.9
42,24,2135.55
43,21,2099.8166666666666
44,22,3744.4
45,19,2226.6
46,19,1072.1333333333334
47,14,945.75
48,25,2839.9
49,23,1787.6166666666668
50,17,1930.7333333333333
51,21,2131.733333333333
52,19,1230.6166666666666
53,21,3820.0
54,20,2190.4
55,12,2050.35
56,23,1699.9
57,30,2630.9833333333336
58,22,1719.5166666666667
59,12,349.8333333333333
60,19,1626.9833333333333
61,24,2717.9166666666665
62,16,1513.1
63,20,2899.916666666667
64,15,1321.95
65,16,941.5
66,24,2152.133333333333
67,25,3279.016666666667
68,13,1303.6
69,24,3556.633333333333
70,18,1561.0833333333335
71,19,1488.25
72,19,1884.6666666666665
73,22,834.7666666666667
74,24,2911.5833333333335
75,21,2954.116666666667
76,20,1961.1833333333334
77,30,2108.95
78,15,894.45
79,18,1473.7833333333333
80,23,1358.5833333333333
81,26,1406.6166666666668
82,20,2974.75
83,18,2372.4
84,18,2227.233333333333
85,20,1584.6333333333334
86,20,1542.2333333333333
87,24,2309.7833333333333
88,24,2664.75
89,19,1496.3166666666666
90,18,1804.2666666666667
91,17,2278.35
92,22,2471.9166666666665
93,21,1017.4333333333334
94,31,1578.2166666666667
95,26,3365.1666666666665
96,18,1592.3166666666666
97,20,2855.5666666666666
98,17,1447.7666666666667
99,13,869.3666666666667
100,12,900.6
101,21,1614.0
102,15,1809.1833333333334
103,19,1487.1
104,30,3479.866666666667
105,20,1640.4833333333333
106,19,470.5833333333333
107,24,1876.7666666666667
108,17,1811.1833333333334
109,23,3109.8166666666666
110,21,2012.7
111,18,1495.6833333333334
112,25,3096.883333333333
113,20,1396.9833333333333
114,20,2078.8
115,23,3317.7999999999997
116,17,2116.4333333333334
117,23,2689.2833333333333
118,28,2719.45
119,31,2805.8333333333335
120,26,2686.5166666666664
121,23,2511.6
122,24,3063.4166666666665
123,24,2246.7833333333333
124,21,3110.7833333333333
125,14,1788.7333333333333
126,18,2399.15
127,24,3426.483333333333
128,20,1956.65
129,16,1978.3833333333332
130,15,583.8166666666666
131,28,2267.4333333333334
132,19,1725.4333333333332
133,22,4316.75
134,18,1606.4666666666667
135,16,2472.95
136,20,1496.0166666666667
137,26,1953.7
138,23,2249.25
139,18,1777.3166666666666
140,18,2516.4166666666665
141,21,2051.9
142,21,1726.6666666666667
143,17,1263.3333333333333
144,21,2628.9
145,15,1072.0666666666666
146,23,2219.65
147,21,3416.0166666666664
148,19,2608.05
149,26,1975.8666666666668
150,22,2747.0
151,28,2840.6833333333334
152,26,3558.25
153,26,2231.633333333333
154,25,2329.4
155,11,1052.55
156,18,2063.65
157,15,1843.1166666666666
158,16,2369.05
159,22,1752.95
160,14,1399.1333333333332
161,27,3575.65
162,20,1397.65
163,20,3014.4666666666667
164,24,1551.7
165,20,2737.133333333333
166,23,2956.0
167,19,1297.6833333333334
168,21,3012.166666666667
169,12,1371.0333333333333
170,23,3668.1666666666665
171,22,2116.516666666667
172,18,1735.2666666666667
173,17,2653.6833333333334
174,19,1688.1
175,20,2584.35
176,14,845.3833333333333
177,25,1914.1666666666665
178,12,1980.9166666666665
179,31,1999.9
180,20,2655.0666666666666
181,25,1852.0
182,20,3034.8166666666666
183,29,2672.1833333333334
184,25,3396.233333333333
185,22,1948.0
186,19,1163.3666666666668
