Hour,RegionA|RealTimeInference,RegionA|BatchInference,RegionA|AITraining,RegionB|RealTimeInference,RegionB|BatchInference,RegionB|AITraining,RegionC|RealTimeInference,RegionC|BatchInference,RegionC|AITraining,RegionD|RealTimeInference,RegionD|BatchInference,RegionD|AITraining,RegionE|RealTimeInference,RegionE|BatchInference,RegionE|AITraining,RegionF|RealTimeInference,RegionF|BatchInference,RegionF|AITraining
0,0,22,9,85,0,12,0,13,4,312,0,0,61,23,0,116,0,0
1,0,22,2,0,0,9,177,17,0,173,16,4,139,0,0,194,0,0
2,0,26,17,139,38,15,0,16,1,308,59,0,73,23,0,194,0,0
3,0,18,23,59,28,7,0,0,0,93,21,0,156,9,0,118,0,0
4,0,18,11,0,42,2,0,12,5,147,0,0,191,0,0,0,10,0
5,0,0,15,0,0,7,0,36,3,163,6,3,56,12,3,145,6,0
6,0,0,7,0,57,27,86,6,8,124,0,0,0,0,0,139,9,0
7,18,14,6,21,18,2,107,0,0,293,11,0,170,20,0,53,37,0
8,80,22,6,31,0,22,0,0,21,147,0,0,90,11,4,129,13,0
9,0,0,0,0,23,19,0,29,0,107,12,0,120,34,5,0,10,0
10,0,0,5,0,7,14,0,31,2,123,0,0,280,48,0,290,0,0
11,0,16,13,0,23,12,0,10,11,234,67,0,0,21,0,238,24,0
12,0,16,6,119,0,7,49,17,7,100,20,0,107,20,0,0,17,8
13,45,56,7,0,28,2,28,40,6,0,25,0,281,12,0,219,0,4
14,0,0,17,0,5,21,0,0,15,230,16,2,147,16,0,92,22,0
15,0,0,13,98,7,28,0,37,15,267,0,0,65,22,3,211,23,0
16,50,39,9,118,33,1,0,0,15,0,0,6,0,23,0,0,0,0
17,0,19,9,33,42,16,0,20,9,87,6,0,213,0,7,365,8,0
18,41,17,12,109,12,11,40,48,7,158,18,0,0,0,0,110,20,0
19,255,40,7,155,5,7,23,0,1,195,21,0,29,16,0,34,41,0
20,0,39,2,52,23,2,0,0,5,151,25,1,85,40,0,152,0,0
21,59,11,15,122,50,0,0,12,1,95,0,0,334,0,0,406,0,0
22,0,0,20,0,0,19,45,4,10,135,0,0,0,0,0,0,11,5
23,88,22,17,0,19,18,0,9,7,98,8,0,0,17,0,99,27,6
24,0,21,6,0,13,3,0,0,0,173,18,0,63,37,0,314,28,0
25,0,7,4,127,15,12,0,7,2,0,0,0,170,0,0,46,15,0
26,0,0,14,0,0,5,79,18,0,65,35,0,105,49,6,273,37,2
27,0,0,12,0,23,14,115,0,9,169,9,9,117,0,7,230,13,0
28,0,12,19,0,19,4,0,38,7,556,0,0,169,22,0,336,7,7
29,105,23,7,0,0,10,0,35,12,300,53,0,351,0,0,116,8,4
30,151,4,9,102,0,15,0,6,2,0,31,0,76,0,0,0,0,0
31,63,5,18,0,9,11,0,7,4,17,22,0,0,22,0,0,0,0
32,0,4,0,0,44,25,172,61,6,119,60,0,214,22,0,473,0,5
33,0,65,2,0,0,6,76,0,7,30,33,0,313,22,0,165,8,4
34,51,25,15,0,37,2,97,52,11,307,0,0,303,15,0,188,37,0
35,0,17,4,0,8,0,0,42,12,201,21,0,68,34,0,0,12,4
36,68,15,10,74,14,3,0,12,0,364,0,0,0,0,0,131,0,0
37,56,24,3,0,22,10,33,0,6,65,17,0,150,0,0,99,19,0
38,0,4,1,0,10,19,111,0,19,53,13,0,229,35,0,48,0,0
39,0,48,20,0,22,4,0,10,9,136,55,3,121,0,6,97,0,0
40,0,22,16,0,8,7,0,27,4,150,7,0,0,12,1,465,0,0
41,0,23,11,37,18,0,180,11,2,123,19,2,125,0,1,112,0,0
42,0,26,28,0,0,9,0,7,10,54,19,1,146,0,0,121,45,7
43,0,67,8,59,0,13,125,34,3,126,18,5,52,0,0,63,12,0
44,111,0,1,66,15,8,44,13,4,359,32,5,129,4,0,125,0,0
45,0,23,7,0,19,4,21,0,12,75,28,0,203,0,6,87,19,0
46,53,21,0,0,13,0,0,24,19,24,0,0,109,38,0,78,32,7
47,69,4,11,0,36,2,0,0,0,0,24,0,204,0,0,27,7,1
48,53,17,4,0,80,0,74,34,0,107,33,0,219,0,0,125,47,7
49,0,20,5,22,22,24,108,22,5,227,32,0,64,0,0,113,0,0
50,88,16,0,0,28,7,0,10,3,66,20,0,157,0,0,85,7,1
51,86,0,12,0,24,14,75,49,0,41,0,0,0,0,5,243,23,0
52,0,21,13,24,0,4,0,0,14,0,31,0,115,0,2,53,13,5
53,0,11,10,0,7,12,32,9,0,365,0,0,312,16,0,71,5,0
54,0,22,6,0,30,21,0,22,11,124,5,0,0,7,0,289,0,0
55,0,7,5,115,0,4,0,8,4,151,0,0,202,22,0,0,5,0
56,0,9,11,0,9,12,0,36,14,230,35,0,124,33,0,0,23,0
57,0,41,7,85,24,1,0,17,12,293,92,0,0,41,0,246,4,0
58,0,46,5,0,29,7,125,12,1,349,6,0,0,12,0,42,0,0
59,0,0,0,0,16,13,0,14,7,44,7,1,33,0,0,0,7,0
60,0,7,8,0,33,14,92,18,7,246,0,0,97,0,0,0,20,4
61,0,4,23,0,43,0,0,13,7,308,23,6,182,0,6,242,0,0
62,100,17,10,0,42,5,0,0,0,176,20,5,0,0,6,132,0,0
63,97,35,6,0,20,1,0,18,7,411,8,0,82,14,0,25,15,6
64,0,18,2,0,23,1,57,18,3,201,23,0,0,0,0,99,24,0
65,0,9,0,0,4,17,0,0,5,168,12,0,65,18,0,79,36,0
66,92,67,1,0,9,6,0,20,1,290,80,0,60,0,0,126,20,0
67,102,13,23,0,15,4,43,27,4,196,14,0,63,18,2,213,15,12
68,0,9,5,0,0,6,0,29,7,120,9,4,97,0,0,0,0,0
69,92,15,0,104,4,15,0,32,0,288,31,0,291,19,0,174,19,0
70,23,16,5,0,30,5,80,26,5,0,0,0,208,21,0,28,9,3
71,0,48,4,0,11,12,61,0,10,0,26,0,159,0,0,318,0,0
72,120,0,5,0,22,2,0,16,17,77,38,7,62,10,0,116,7,0
73,0,44,14,0,12,14,0,22,5,0,18,0,151,20,1,60,35,0
74,0,19,6,0,42,6,0,15,15,380,0,0,355,20,0,0,0,6
75,0,0,7,0,15,7,0,22,7,310,20,0,220,15,0,224,21,6
76,0,22,3,0,0,6,0,27,1,303,15,4,147,23,0,78,20,0
77,117,61,19,0,0,20,67,0,8,121,7,0,0,14,0,197,8,0
78,0,36,15,0,0,12,0,0,4,138,22,0,99,13,0,0,0,0
79,0,25,8,0,32,5,125,18,3,0,5,0,100,17,0,56,0,6
80,0,0,0,54,14,20,0,34,13,105,32,0,27,0,6,189,0,5
81,0,60,8,0,0,6,0,11,17,35,55,2,141,27,0,25,0,0
82,92,21,5,91,0,0,0,42,8,231,11,0,121,0,5,92,21,3
83,47,13,3,124,18,14,66,18,7,70,0,0,108,25,0,114,0,0
84,0,17,8,106,0,1,0,0,9,161,54,0,109,0,0,116,0,0
85,0,17,4,0,13,6,135,35,13,0,58,0,0,0,0,108,9,5
86,0,18,18,0,32,7,0,0,7,93,0,7,117,0,3,44,34,0
87,0,0,19,0,72,0,121,4,0,18,11,0,285,38,7,140,18,0
88,0,18,7,0,22,18,183,0,2,238,40,0,82,16,0,48,0,6
89,0,61,8,0,7,15,0,12,4,166,9,0,229,0,0,59,0,0
90,0,17,14,0,15,5,0,0,6,57,50,0,115,13,0,102,21,0
91,120,0,18,0,47,0,0,0,9,216,0,0,0,9,0,154,0,0
92,0,33,14,0,16,3,0,17,5,265,0,0,434,33,0,0,18,0
93,0,32,19,0,4,6,0,31,10,0,60,0,78,6,0,0,29,0
94,0,32,33,0,6,12,0,54,6,268,5,5,81,0,5,99,19,10
95,0,4,4,81,37,7,22,30,7,200,29,0,320,0,7,177,0,0
96,0,0,11,72,23,7,0,40,3,265,14,0,0,8,0,42,22,0
97,0,27,25,0,36,0,0,42,5,125,19,0,71,0,0,389,0,0
98,0,32,15,0,0,5,19,11,0,91,15,0,108,18,0,96,15,0
99,0,12,9,0,9,10,39,0,5,46,21,0,103,10,0,0,13,0
100,0,0,15,66,39,0,0,0,13,102,0,0,0,0,0,23,12,0
101,0,31,13,0,4,10,0,22,1,153,0,5,175,9,0,0,23,0
102,184,13,0,0,25,8,0,0,0,122,22,0,0,23,0,124,14,0
103,0,28,4,0,26,0,24,18,27,117,0,1,199,0,0,88,0,0
104,0,12,13,0,16,6,0,65,6,204,72,0,230,12,4,171,26,0
105,0,25,4,44,0,5,0,10,23,93,0,4,59,15,0,224,0,0
106,0,39,3,0,20,18,0,56,10,0,0,0,43,13,0,0,0,0
107,0,0,8,48,28,14,50,16,9,0,26,0,170,9,6,200,0,6
108,0,24,4,109,33,5,0,0,8,37,0,0,128,0,2,183,0,0
109,0,64,5,23,10,4,98,23,7,307,0,0,0,8,0,363,21,0
110,0,42,7,0,0,4,96,19,12,406,13,0,65,10,5,55,0,0
111,0,0,4,61,0,15,99,14,17,212,0,0,0,6,0,89,0,0
112,0,41,5,0,28,0,78,22,0,358,30,4,277,16,0,0,16,0
113,0,33,9,0,15,3,76,0,7,41,58,0,0,22,3,97,0,6
114,37,0,8,0,11,0,96,8,9,255,19,0,127,14,0,220,0,0
115,0,0,6,83,33,14,0,0,7,265,12,0,133,0,0,214,14,5
116,0,0,13,77,19,5,0,0,6,298,33,0,153,23,0,114,0,0
117,0,22,7,0,25,1,0,10,8,233,42,4,204,7,0,0,17,0
118,63,28,10,18,13,14,0,23,11,143,44,0,119,17,3,125,13,0
119,114,8,16,0,11,15,0,8,39,180,40,0,118,29,7,189,0,0
120,0,27,6,0,4,7,16,12,13,230,0,0,154,18,0,272,0,0
121,0,49,12,47,27,9,127,0,0,435,0,0,107,0,0,28,66,0
122,0,46,14,0,23,4,103,39,0,234,0,0,199,16,4,133,0,0
123,0,42,2,0,15,8,0,21,5,259,55,0,248,33,6,42,0,0
124,0,41,24,100,0,0,229,0,0,262,0,0,72,5,0,137,26,3
125,0,0,3,108,0,10,23,5,0,75,5,0,0,19,0,188,0,5
126,18,20,8,115,15,7,0,9,0,355,37,0,122,0,7,0,0,0
127,0,22,6,0,33,9,76,0,6,296,14,0,110,14,0,239,23,0
128,0,14,22,0,0,9,39,14,12,274,0,0,131,0,0,53,0,0
129,0,0,4,0,0,12,0,27,7,217,0,3,0,32,0,173,24,0
130,0,24,10,0,23,10,0,0,8,0,0,0,118,0,0,0,0,0
131,0,0,23,0,10,17,0,6,11,154,47,0,38,26,0,325,19,2
132,0,13,1,100,0,3,0,38,13,148,12,0,19,14,0,202,39,3
133,0,0,0,103,45,1,0,5,7,412,27,0,127,0,0,203,13,1
134,0,0,12,51,0,11,82,0,0,114,20,0,0,62,0,95,26,0
135,0,0,11,0,17,0,0,14,11,196,12,3,235,0,0,119,0,0
136,52,9,8,79,40,0,0,9,0,119,45,0,0,17,1,0,5,16
137,0,38,9,54,0,29,0,0,5,212,43,7,99,23,0,0,29,0
138,0,76,10,52,12,1,0,0,7,306,17,0,142,28,0,0,6,0
139,0,47,6,0,7,12,0,0,6,132,18,0,176,0,0,125,0,0
140,93,35,7,139,25,1,41,22,0,0,0,0,44,0,0,214,27,3
141,52,9,0,0,57,10,0,14,4,321,0,8,151,0,0,0,30,0
142,27,0,7,147,10,13,0,0,15,33,37,0,110,25,5,37,0,0
143,0,0,8,0,14,12,0,44,9,0,0,0,115,40,0,136,0,0
144,0,33,15,0,10,4,0,0,0,302,0,1,140,0,0,354,0,0
145,0,33,2,66,33,4,0,56,0,95,0,0,171,16,0,0,0,0
146,0,43,14,0,26,3,0,0,3,113,20,6,229,16,0,109,9,3
147,0,0,18,112,0,1,0,37,9,230,20,0,108,40,0,375,0,0
148,161,20,0,118,10,10,50,20,3,207,4,0,0,35,0,168,0,0
149,0,10,17,0,37,21,19,20,16,223,15,0,53,0,0,126,0,5
