Region,Hour,SOC_data_MWh,SOC_rebuilt_MWh,diff_MWh
RegionA,0,225.39,225.39,0.0
RegionA,1,293.28,293.28,0.0
RegionA,2,350.0,349.999956,-4.400000000259752e-05
RegionA,3,350.0,349.999956,-4.400000000259752e-05
RegionA,4,350.0,349.999956,-4.400000000259752e-05
RegionA,5,350.0,349.999956,-4.400000000259752e-05
RegionA,6,350.0,349.999956,-4.400000000259752e-05
RegionA,7,350.0,349.999956,-4.400000000259752e-05
RegionA,8,350.0,349.999956,-4.400000000259752e-05
RegionA,9,350.0,349.999956,-4.400000000259752e-05
RegionA,10,350.0,349.999956,-4.400000000259752e-05
RegionA,11,350.0,349.999956,-4.400000000259752e-05
RegionA,12,350.0,349.999956,-4.400000000259752e-05
RegionA,13,350.0,349.999956,-4.400000000259752e-05
RegionA,14,350.0,349.999956,-4.400000000259752e-05
RegionA,15,350.0,349.999956,-4.400000000259752e-05
RegionA,16,350.0,349.999956,-4.400000000259752e-05
RegionA,17,301.087,301.0869125217391,-8.74782608661917e-05
RegionA,18,252.1739,252.17386904347825,-3.0956521754887945e-05
RegionA,19,203.2609,203.26082556521737,-7.443478261848213e-05
RegionA,20,154.3478,154.3477820869565,-1.7913043507178372e-05
RegionA,21,105.4348,105.43473860869562,-6.139130437077256e-05
RegionA,22,156.0386,156.03854960869563,-5.039130437012318e-05
RegionA,23,207.1886,207.18854960869564,-5.039130437012318e-05
RegionA,24,275.0786,275.07854960869565,-5.039130434170147e-05
RegionA,25,342.9686,342.96854960869564,-5.039130434170147e-05
RegionA,26,350.0,349.99990760869565,-9.23913043493485e-05
RegionA,27,350.0,349.99990760869565,-9.23913043493485e-05
RegionA,28,350.0,349.99990760869565,-9.23913043493485e-05
RegionA,29,350.0,349.99990760869565,-9.23913043493485e-05
RegionA,30,350.0,349.99990760869565,-9.23913043493485e-05
RegionA,31,350.0,349.99990760869565,-9.23913043493485e-05
RegionA,32,350.0,349.99990760869565,-9.23913043493485e-05
RegionA,33,350.0,349.99990760869565,-9.23913043493485e-05
RegionA,34,350.0,349.99990760869565,-9.23913043493485e-05
RegionA,35,350.0,349.99990760869565,-9.23913043493485e-05
RegionA,36,350.0,349.99990760869565,-9.23913043493485e-05
RegionA,37,350.0,349.99990760869565,-9.23913043493485e-05
RegionA,38,350.0,349.99990760869565,-9.23913043493485e-05
RegionA,39,350.0,349.99990760869565,-9.23913043493485e-05
RegionA,40,350.0,349.99990760869565,-9.23913043493485e-05
RegionA,41,301.087,301.0868641304348,-0.0001358695652129427
RegionA,42,252.1739,252.1738206521739,-7.934782610163893e-05
RegionA,43,203.2609,203.26077717391303,-0.00012282608696523312
RegionA,44,154.3478,154.34773369565215,-6.630434785392936e-05
RegionA,45,105.4348,105.43469021739128,-0.00010978260871752354
RegionA,46,155.6514,155.6512492173913,-0.00015078260869927362
RegionA,47,206.6627,206.6625862173913,-0.00011378260870742452
RegionA,48,274.5527,274.5525862173913,-0.00011378260870742452
RegionA,49,342.4427,342.4425862173913,-0.00011378260870742452
RegionA,50,350.0,349.9998592173913,-0.0001407826086960995
RegionA,51,350.0,349.9998592173913,-0.0001407826086960995
RegionA,52,350.0,349.9998592173913,-0.0001407826086960995
RegionA,53,350.0,349.9998592173913,-0.0001407826086960995
RegionA,54,350.0,349.9998592173913,-0.0001407826086960995
RegionA,55,350.0,349.9998592173913,-0.0001407826086960995
RegionA,56,350.0,349.9998592173913,-0.0001407826086960995
RegionA,57,350.0,349.9998592173913,-0.0001407826086960995
RegionA,58,350.0,349.9998592173913,-0.0001407826086960995
RegionA,59,350.0,349.9998592173913,-0.0001407826086960995
RegionA,60,350.0,349.9998592173913,-0.0001407826086960995
RegionA,61,350.0,349.9998592173913,-0.0001407826086960995
RegionA,62,350.0,349.9998592173913,-0.0001407826086960995
RegionA,63,350.0,349.9998592173913,-0.0001407826086960995
RegionA,64,350.0,349.9998592173913,-0.0001407826086960995
RegionA,65,301.087,301.08681573913043,-0.00018426086955969367
RegionA,66,252.1739,252.17377226086955,-0.00012773913044838991
RegionA,67,203.2609,203.26072878260868,-0.0001712173913119841
RegionA,68,154.3478,154.3476853043478,-0.00011469565220068034
RegionA,69,105.4348,105.43464182608693,-0.00015817391306427453
RegionA,70,156.4143,156.41417282608694,-0.00012717391305727688
RegionA,71,207.0595,207.05936882608694,-0.00013117391307559956
