TaskType,SourceRegion,Reachable,MaxLatency_ms
RealTimeInference,RegionA,RegionA|RegionB|RegionC,20
RealTimeInference,RegionB,RegionA|RegionB|RegionC,20
RealTimeInference,RegionC,RegionA|RegionB|RegionC,20
RealTimeInference,RegionD,RegionD,20
RealTimeInference,RegionE,RegionE|RegionF,20
RealTimeInference,RegionF,RegionE|RegionF,20
BatchInference,RegionA,RegionA|RegionB|RegionC|RegionD|RegionE,80
BatchInference,RegionB,RegionA|RegionB|RegionC|RegionD|RegionE|RegionF,80
BatchInference,RegionC,RegionA|RegionB|RegionC|RegionD|RegionE|RegionF,80
BatchInference,RegionD,RegionA|RegionB|RegionC|RegionD|RegionE|RegionF,80
BatchInference,RegionE,RegionA|RegionB|RegionC|RegionD|RegionE|RegionF,80
BatchInference,RegionF,RegionB|RegionC|RegionD|RegionE|RegionF,80
AITraining,RegionA,RegionA|RegionB|RegionC|RegionD|RegionE|RegionF,150
AITraining,RegionB,RegionA|RegionB|RegionC|RegionD|RegionE|RegionF,150
AITraining,RegionC,RegionA|RegionB|RegionC|RegionD|RegionE|RegionF,150
AITraining,RegionD,RegionA|RegionB|RegionC|RegionD|RegionE|RegionF,150
AITraining,RegionE,RegionA|RegionB|RegionC|RegionD|RegionE|RegionF,150
AITraining,RegionF,RegionA|RegionB|RegionC|RegionD|RegionE|RegionF,150
