series,model,layer,cv_mape,cv_gate,frozen_mape,frozen_imp,deploy_pass
RegionA|RealTimeInference,lgbm_point,task,65.91756756258484,拒绝:cov增益=-0.064(<基线std=0.021) 或宽度失控(119>118) 或pinball恶化(-37.1%<-2%) pinball降幅=-37.1%,78.1907564149704,-0.2862,False
RegionA|RealTimeInference,xgboost_point,task,64.75973315369257,拒绝:cov增益=-0.067(<基线std=0.021) 或宽度失控(119>118) 或pinball恶化(-37.6%<-2%) pinball降幅=-37.6%,78.9195607600646,-0.2982,False
RegionA|RealTimeInference,qrf_quantile,task,61.56206925191047,拒绝:cov增益=-0.001(<基线std=0.021) 或宽度失控(103>118) 或pinball恶化(-0.2%<-2%) pinball降幅=-0.2%,79.13239801032697,-0.3017,False
RegionA|RealTimeInference,lgbm_quantile,task,94.55386275636732,拒绝:cov增益=-0.054(<基线std=0.021) 或宽度失控(80>118) 或pinball恶化(-7.6%<-2%) pinball降幅=-7.6%,100.0,-0.645,False
RegionA|RealTimeInference,gbm_quantile,task,100.0,拒绝:cov增益=-0.032(<基线std=0.021) 或宽度失控(91>118) 或pinball恶化(-2.5%<-2%) pinball降幅=-2.5%,100.0,-0.645,False
RegionA|RealTimeInference,deep_lstm,task,59.87862856023683,拒绝:cov增益=-0.043(<基线std=0.021) 或宽度失控(119>118) 或pinball恶化(-32.4%<-2%) pinball降幅=-32.4%,77.23984773607408,-0.2706,False
RegionA|RealTimeInference,deep_tcn,task,60.72204071014677,拒绝:cov增益=-0.045(<基线std=0.021) 或宽度失控(119>118) 或pinball恶化(-32.4%<-2%) pinball降幅=-32.4%,77.13145801421133,-0.2688,False
RegionA|RealTimeInference,tabpfn,task,61.95266661851527,拒绝:cov增益=+0.016(<基线std=0.021) 或宽度失控(114>118) 或pinball恶化(-2.7%<-2%) pinball降幅=-2.7%,81.24422441209725,-0.3365,False
RegionA|BatchInference,lgbm_point,task,76.50736215214175,拒绝:cov增益=-0.118(<基线std=0.022) 或宽度失控(45>49) 或pinball恶化(-13.9%<-2%) pinball降幅=-13.9%,52.531984397248934,0.1926,True
RegionA|BatchInference,xgboost_point,task,77.2118204035708,拒绝:cov增益=-0.117(<基线std=0.022) 或宽度失控(45>49) 或pinball恶化(-14.1%<-2%) pinball降幅=-14.1%,54.86062696396458,0.1568,True
RegionA|BatchInference,qrf_quantile,task,68.54022232507339,拒绝:cov增益=+0.007(<基线std=0.022) 或宽度失控(44>49) 或pinball恶化(-0.8%<-2%) pinball降幅=-0.8%,49.07321661765665,0.2458,True
RegionA|BatchInference,lgbm_quantile,task,64.70865119363391,拒绝:cov增益=-0.125(<基线std=0.022) 或宽度失控(38>49) 或pinball恶化(-5.9%<-2%) pinball降幅=-5.9%,53.29933363370476,0.1808,True
RegionA|BatchInference,gbm_quantile,task,63.44472060891985,拒绝:cov增益=-0.013(<基线std=0.022) 或宽度失控(43>49) 或pinball恶化(-2.7%<-2%) pinball降幅=-2.7%,50.55431184285343,0.223,True
RegionA|BatchInference,deep_lstm,task,65.56839793287241,拒绝:cov增益=-0.020(<基线std=0.022) 或宽度失控(45>49) 或pinball恶化(-3.7%<-2%) pinball降幅=-3.7%,48.38835073813245,0.2563,True
RegionA|BatchInference,deep_tcn,task,64.20157570318756,拒绝:cov增益=-0.021(<基线std=0.022) 或宽度失控(45>49) 或pinball恶化(-3.7%<-2%) pinball降幅=-3.7%,51.62862198248441,0.2065,True
RegionA|BatchInference,tabpfn,task,67.53305296239009,拒绝:cov增益=-0.137(<基线std=0.022) 或宽度失控(48>49) 或pinball恶化(-2.1%<-2%) pinball降幅=-2.1%,45.305680840506035,0.3037,True
RegionA|AITraining,lgbm_point,task,85.75263711962138,拒绝:cov增益=-0.035(<基线std=0.023) 或宽度失控(18>21) 或pinball恶化(-10.0%<-2%) pinball降幅=-10.0%,94.46142275646973,-0.1545,False
RegionA|AITraining,xgboost_point,task,85.11985931958239,拒绝:cov增益=-0.039(<基线std=0.023) 或宽度失控(18>21) 或pinball恶化(-12.3%<-2%) pinball降幅=-12.3%,116.07368907491637,-0.4187,False
RegionA|AITraining,qrf_quantile,task,82.62778639696782,拒绝:cov增益=+0.013(<基线std=0.023) 或宽度失控(18>21) 或pinball恶化(-1.3%<-2%) pinball降幅=-1.3%,99.3717502874364,-0.2145,False
RegionA|AITraining,lgbm_quantile,task,76.3030669820608,拒绝:cov增益=-0.133(<基线std=0.023) 或宽度失控(14>21) 或pinball恶化(-6.8%<-2%) pinball降幅=-6.8%,72.60460587216804,0.1126,True
RegionA|AITraining,gbm_quantile,task,71.93555153350876,拒绝:cov增益=-0.062(<基线std=0.023) 或宽度失控(17>21) 或pinball恶化(-3.7%<-2%) pinball降幅=-3.7%,88.1281183002464,-0.0771,False
RegionA|AITraining,deep_lstm,task,82.37298886762808,拒绝:cov增益=-0.010(<基线std=0.023) 或宽度失控(18>21) 或pinball恶化(-0.4%<-2%) pinball降幅=-0.4%,101.84146326551593,-0.2447,False
RegionA|AITraining,deep_tcn,task,81.36083421988864,拒绝:cov增益=-0.009(<基线std=0.023) 或宽度失控(18>21) 或pinball恶化(-0.5%<-2%) pinball降幅=-0.5%,99.38014572795821,-0.2146,False
RegionA|AITraining,tabpfn,task,85.49645099187255,拒绝:cov增益=-0.002(<基线std=0.023) 或宽度失控(20>21) 或pinball恶化(-2.0%<-2%) pinball降幅=-2.0%,107.23470992726949,-0.3106,False
RegionB|RealTimeInference,lgbm_point,task,63.13996786313703,拒绝:cov增益=-0.086(<基线std=0.026) 或宽度失控(118>117) 或pinball恶化(-45.0%<-2%) pinball降幅=-45.0%,53.06788431396847,0.122,True
RegionB|RealTimeInference,xgboost_point,task,64.69944920552267,拒绝:cov增益=-0.091(<基线std=0.026) 或宽度失控(118>117) 或pinball恶化(-47.2%<-2%) pinball降幅=-47.2%,54.45777297505019,0.099,True
RegionB|RealTimeInference,qrf_quantile,task,59.70366682587269,拒绝:cov增益=+0.004(<基线std=0.026) 或宽度失控(102>117) 或pinball恶化(-0.9%<-2%) pinball降幅=-0.9%,60.10791507232089,0.0056,False
RegionB|RealTimeInference,lgbm_quantile,task,87.38930931309929,拒绝:cov增益=-0.039(<基线std=0.026) 或宽度失控(85>117) 或pinball恶化(-12.7%<-2%) pinball降幅=-12.7%,96.38292262931104,-0.5946,False
RegionB|RealTimeInference,gbm_quantile,task,100.0,拒绝:cov增益=-0.012(<基线std=0.026) 或宽度失控(95>117) 或pinball恶化(-1.6%<-2%) pinball降幅=-1.6%,100.0,-0.6544,False
RegionB|RealTimeInference,deep_lstm,task,61.37419797587735,拒绝:cov增益=-0.040(<基线std=0.026) 或宽度失控(117>117) 或pinball恶化(-34.4%<-2%) pinball降幅=-34.4%,61.930405694141,-0.0246,False
RegionB|RealTimeInference,deep_tcn,task,61.50409209372263,拒绝:cov增益=-0.038(<基线std=0.026) 或宽度失控(117>117) 或pinball恶化(-34.3%<-2%) pinball降幅=-34.3%,64.35646243627127,-0.0647,False
RegionB|RealTimeInference,tabpfn,task,61.46574607888075,拒绝:cov增益=+0.018(<基线std=0.026) 或宽度失控(112>117) 或pinball恶化(-4.3%<-2%) pinball降幅=-4.3%,69.17773058879307,-0.1445,False
RegionB|BatchInference,lgbm_point,task,72.97541952722354,拒绝:cov增益=-0.139(<基线std=0.034) 或宽度失控(43>48) 或pinball恶化(-15.7%<-2%) pinball降幅=-15.7%,81.44544817423755,-0.3298,False
RegionB|BatchInference,xgboost_point,task,71.52795110345689,拒绝:cov增益=-0.138(<基线std=0.034) 或宽度失控(43>48) 或pinball恶化(-15.0%<-2%) pinball降幅=-15.0%,87.00744312315578,-0.4206,False
RegionB|BatchInference,qrf_quantile,task,63.34557736309771,拒绝:cov增益=-0.007(<基线std=0.034) 或宽度失控(42>48) 或pinball恶化(-0.8%<-2%) pinball降幅=-0.8%,80.53709743509478,-0.315,False
RegionB|BatchInference,lgbm_quantile,task,64.35671573626551,拒绝:cov增益=-0.128(<基线std=0.034) 或宽度失控(36>48) 或pinball恶化(-7.4%<-2%) pinball降幅=-7.4%,80.09233471590895,-0.3077,False
RegionB|BatchInference,gbm_quantile,task,61.91546992697802,拒绝:cov增益=-0.029(<基线std=0.034) 或宽度失控(40>48) 或pinball恶化(-3.7%<-2%) pinball降幅=-3.7%,79.33441743001863,-0.2953,False
RegionB|BatchInference,deep_lstm,task,60.450570777225565,拒绝:cov增益=-0.022(<基线std=0.034) 或宽度失控(43>48) 或pinball恶化(-3.3%<-2%) pinball降幅=-3.3%,75.92671875307333,-0.2397,False
RegionB|BatchInference,deep_tcn,task,60.412385368732906,拒绝:cov增益=-0.029(<基线std=0.034) 或宽度失控(43>48) 或pinball恶化(-3.3%<-2%) pinball降幅=-3.3%,74.96311973938093,-0.224,False
RegionB|BatchInference,tabpfn,task,63.02919594392877,拒绝:cov增益=-0.181(<基线std=0.034) 或宽度失控(45>48) 或pinball恶化(-2.5%<-2%) pinball降幅=-2.5%,77.52463045149062,-0.2658,False
RegionB|AITraining,lgbm_point,task,114.07899825755143,拒绝:cov增益=-0.164(<基线std=0.012) 或宽度失控(17>20) 或pinball恶化(-15.7%<-2%) pinball降幅=-15.7%,119.09957217427673,-0.2635,False
RegionB|AITraining,xgboost_point,task,116.70418746750772,拒绝:cov增益=-0.178(<基线std=0.012) 或宽度失控(17>20) 或pinball恶化(-19.6%<-2%) pinball降幅=-19.6%,131.21744083838956,-0.3921,False
RegionB|AITraining,qrf_quantile,task,102.29942998031422,拒绝:cov增益=-0.024(<基线std=0.012) 或宽度失控(18>20) 或pinball恶化(-1.8%<-2%) pinball降幅=-1.8%,133.02668883964532,-0.4113,False
RegionB|AITraining,lgbm_quantile,task,95.64411499866289,拒绝:cov增益=-0.210(<基线std=0.012) 或宽度失控(15>20) 或pinball恶化(-7.7%<-2%) pinball降幅=-7.7%,124.79476753152778,-0.3239,False
RegionB|AITraining,gbm_quantile,task,93.40086176078516,拒绝:cov增益=-0.029(<基线std=0.012) 或宽度失控(18>20) 或pinball恶化(-5.0%<-2%) pinball降幅=-5.0%,113.82799582968018,-0.2076,False
RegionB|AITraining,deep_lstm,task,92.93209484538843,拒绝:cov增益=-0.112(<基线std=0.012) 或宽度失控(17>20) 或pinball恶化(-1.4%<-2%) pinball降幅=-1.4%,130.72815878672228,-0.3869,False
RegionB|AITraining,deep_tcn,task,93.9641310166206,拒绝:cov增益=-0.108(<基线std=0.012) 或宽度失控(17>20) 或pinball恶化(-1.5%<-2%) pinball降幅=-1.5%,127.47097865629658,-0.3523,False
RegionB|AITraining,tabpfn,task,100.52917659304914,拒绝:cov增益=-0.118(<基线std=0.012) 或宽度失控(19>20) 或pinball恶化(-2.9%<-2%) pinball降幅=-2.9%,127.958172166397,-0.3575,False
RegionC|RealTimeInference,lgbm_point,task,65.1841490664148,拒绝:cov增益=-0.068(<基线std=0.019) 或宽度失控(119>117) 或pinball恶化(-42.2%<-2%) pinball降幅=-42.2%,66.4578092404979,-0.0836,False
RegionC|RealTimeInference,xgboost_point,task,64.84313365777892,拒绝:cov增益=-0.096(<基线std=0.019) 或宽度失控(119>117) 或pinball恶化(-49.9%<-2%) pinball降幅=-49.9%,70.59154860541238,-0.1511,False
RegionC|RealTimeInference,qrf_quantile,task,61.10300281625446,拒绝:cov增益=-0.004(<基线std=0.019) 或宽度失控(103>117) 或pinball恶化(-0.5%<-2%) pinball降幅=-0.5%,58.38468706662619,0.048,False
RegionC|RealTimeInference,lgbm_quantile,task,96.97272849014192,拒绝:cov增益=-0.047(<基线std=0.019) 或宽度失控(81>117) 或pinball恶化(-6.7%<-2%) pinball降幅=-6.7%,91.44637965995753,-0.4911,False
RegionC|RealTimeInference,gbm_quantile,task,100.0,拒绝:cov增益=-0.019(<基线std=0.019) 或宽度失控(95>117) 或pinball恶化(-2.0%<-2%) pinball降幅=-2.0%,100.0,-0.6306,False
RegionC|RealTimeInference,deep_lstm,task,61.53522296444313,拒绝:cov增益=-0.041(<基线std=0.019) 或宽度失控(119>117) 或pinball恶化(-36.7%<-2%) pinball降幅=-36.7%,55.67474605928469,0.0922,True
RegionC|RealTimeInference,deep_tcn,task,61.44703819648505,拒绝:cov增益=-0.042(<基线std=0.019) 或宽度失控(119>117) 或pinball恶化(-36.6%<-2%) pinball降幅=-36.6%,57.54899922898481,0.0616,True
RegionC|RealTimeInference,tabpfn,task,62.46115938378813,拒绝:cov增益=+0.021(<基线std=0.019) 或宽度失控(116>117) 或pinball恶化(-4.2%<-2%) pinball降幅=-4.2%,50.930646209958155,0.1695,True
RegionC|BatchInference,lgbm_point,task,62.07990892384901,拒绝:cov增益=-0.101(<基线std=0.010) 或宽度失控(39>43) 或pinball恶化(-13.0%<-2%) pinball降幅=-13.0%,41.81072647613988,0.2125,True
RegionC|BatchInference,xgboost_point,task,62.26978192208041,拒绝:cov增益=-0.092(<基线std=0.010) 或宽度失控(39>43) 或pinball恶化(-13.0%<-2%) pinball降幅=-13.0%,37.29763816562206,0.2975,True
RegionC|BatchInference,qrf_quantile,task,54.69268117690437,拒绝:cov增益=+0.001(<基线std=0.010) 或宽度失控(37>43) 或pinball恶化(-0.8%<-2%) pinball降幅=-0.8%,35.804832334735146,0.3256,True
