Hour,energy|RegionA|renewable_pred,energy|RegionA|renewable_actual,energy|RegionB|renewable_pred,energy|RegionB|renewable_actual,energy|RegionC|renewable_pred,energy|RegionC|renewable_actual,energy|RegionD|renewable_pred,energy|RegionD|renewable_actual,energy|RegionE|renewable_pred,energy|RegionE|renewable_actual,energy|RegionF|renewable_pred,energy|RegionF|renewable_actual,energy|RegionA|price_pred,energy|RegionA|price_actual,energy|RegionB|price_pred,energy|RegionB|price_actual,energy|RegionC|price_pred,energy|RegionC|price_actual,energy|RegionD|price_pred,energy|RegionD|price_actual,energy|RegionE|price_pred,energy|RegionE|price_actual,energy|RegionF|price_pred,energy|RegionF|price_actual,energy|RegionA|carbon_pred,energy|RegionA|carbon_actual,energy|RegionB|carbon_pred,energy|RegionB|carbon_actual,energy|RegionC|carbon_pred,energy|RegionC|carbon_actual,energy|RegionD|carbon_pred,energy|RegionD|carbon_actual,energy|RegionE|carbon_pred,energy|RegionE|carbon_actual,energy|RegionF|carbon_pred,energy|RegionF|carbon_actual,energy|RegionA|nonai_pred,energy|RegionA|nonai_actual,energy|RegionB|nonai_pred,energy|RegionB|nonai_actual,energy|RegionC|nonai_pred,energy|RegionC|nonai_actual,energy|RegionD|nonai_pred,energy|RegionD|nonai_actual,energy|RegionE|nonai_pred,energy|RegionE|nonai_actual,energy|RegionF|nonai_pred,energy|RegionF|nonai_actual
0,540.19,540.19,540.19,540.19,540.19,540.19,540.19,540.19,540.19,540.19,540.19,540.19,505.07764472339915,468.0,477.13361225558845,448.5,458.3673182761622,435.5,300.06536846248724,279.5,256.5760844359167,247.0,284.8808568271004,260.0,0.6123029052519559,0.6679,0.5731290948272649,0.6248,0.5440271517132385,0.5925,0.41419513925371987,0.4525,0.21740619888841348,0.237,0.2569004425422886,0.2801,255.58821366678092,367.981667,257.2338326616756,325.436667,257.16708682315743,337.659333,192.20776076121098,296.44,201.6661591612171,346.67,199.24654524239466,358.41
1,587.87,587.87,587.87,587.87,587.87,587.87,587.87,587.87,587.87,587.87,587.87,587.87,505.6059164145833,468.31,477.51296663266567,448.79,458.86794051638384,435.78,300.42910674220565,279.68,256.81370773948964,247.16,285.2651398894087,260.17,0.6557758035940977,0.6703,0.614087514924931,0.6271,0.582651245842954,0.5946,0.4443823084952039,0.4541,0.2327896591698518,0.2378,0.27526417466092956,0.2811,336.2357112190903,393.03,314.9852268787585,381.385333,309.05209381273875,357.876,270.5063939664285,304.584,253.81456662311626,382.138333,281.2935921876881,314.83
2,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,508.0026170044742,468.61,479.6343938111855,449.08,461.0861194169193,436.07,301.76542609933836,279.86,257.99053954824234,247.32,286.5396620535464,260.34,0.6585053047255672,0.6693,0.6164876688786363,0.6261,0.5851173908374461,0.5937,0.44610681530742435,0.4534,0.23383773916554443,0.2375,0.27618304029204277,0.2807,380.3162502967218,395.664,345.89255719333806,361.789333,331.16027942534237,357.1,295.62325499529715,309.091667,290.4313581017649,382.82,308.7502749802389,319.95
3,722.35,722.35,722.35,722.35,722.35,722.35,722.35,722.35,722.35,722.35,722.35,722.35,508.5401708942866,468.91,480.08646565529085,449.38,461.47212655524123,436.35,301.9929408323725,280.05,258.26599447792705,247.48,286.88380031327046,260.51,0.6557144261304301,0.665,0.6136921612256022,0.6221,0.5827874238212678,0.59,0.4443627615352715,0.4505,0.23293638983409637,0.236,0.2750755531924716,0.2789,384.29810793961065,392.285,341.28665397265144,363.532,330.90304528912105,357.1,313.6620288208124,310.994333,313.0046590003665,390.24,317.52768987707253,331.53
4,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,508.92327949311425,469.22,480.49103473810544,449.67,461.7773533652282,436.63,302.27125955425475,280.23,258.5129546669384,247.64,287.01156419787054,260.68,0.6511859365489241,0.6578,0.6093712744319435,0.6154,0.5783081510317446,0.5836,0.4407720122204777,0.4456,0.23116291864473765,0.2334,0.2734609647132583,0.2759,382.62234187692684,390.553333,339.8240000710249,364.354667,329.3058015982625,355.5,306.89905818655194,357.345667,329.1231064415446,376.258333,319.82969997828565,339.75
5,877.65,877.65,877.65,877.65,877.65,877.65,877.65,877.65,877.65,877.65,877.65,877.65,508.99121767896554,469.52,480.50570963350395,449.96,461.99636427769343,436.91,302.3200965848514,280.41,258.5902400476228,247.8,287.1690298342552,260.84,0.6434748641920273,0.6483,0.6019183644568105,0.6064,0.571086585735294,0.5751,0.4352172796285584,0.4391,0.22843031068344055,0.23,0.2699105234071597,0.2719,381.29560345315116,390.19,340.60246402946535,376.153333,327.17269326410957,362.527333,313.0251869246907,359.761333,331.9685285528411,402.854,306.1558108304485,374.923333
6,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,508.9911691153993,469.82,481.65013439427855,450.24,462.2409040583465,437.19,301.14437275071816,280.59,261.05809349684057,247.96,287.0794172425322,261.01,0.634400451949926,0.637,0.5933695365054443,0.5959,0.5631146661379699,0.5651,0.42913173176139924,0.4315,0.22515827461398225,0.226,0.2663785630274343,0.2671,394.5020391985829,392.482667,331.16164213938805,379.895,307.45320714409786,356.012,311.0351495592974,376.36,368.4358253023686,438.076667,290.53986287994377,408.834667
7,1012.1300000000001,1012.13,1012.1300000000001,1012.13,1012.1300000000001,1012.13,1012.1300000000001,1012.13,1012.1300000000001,1012.13,1012.1300000000001,1012.13,600.1210031928015,723.26,574.1523441027233,693.12,556.2205982395144,673.03,359.0009872667571,431.95,311.9622666147965,381.72,338.51892976899217,401.81,0.6227544230097272,0.6248,0.583091139798783,0.5845,0.5521972905625503,0.5543,0.42172674367056945,0.4233,0.22081460769238873,0.2217,0.2614689020524068,0.262,386.57635428819344,391.310667,325.5705101518843,378.021333,297.7479076648607,352.289333,319.4976428846408,367.372333,359.8395235110597,428.322667,299.06204598748496,371.44
8,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,1059.81,624.6852431105862,723.71,597.9479833792869,693.56,578.8041112769445,673.45,372.9178290649242,432.22,325.5297413367564,381.96,351.43012940122145,402.06,0.6105457083053102,0.6126,0.5710641761227,0.5731,0.5408577193364611,0.5435,0.4130199104823495,0.415,0.21641590386944193,0.2174,0.25604324371826637,0.2569,386.19390372868264,379.82,322.52923144928275,377.305333,294.02179211095455,351.746667,316.16750789978124,363.737333,352.4783238100216,394.935667,290.93553051736296,349.92
9,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,1089.78,646.4694442291898,724.16,617.709734550977,693.99,597.559633702008,673.87,385.020588229431,432.48,337.0475747904523,382.2,362.3938100649936,402.31,0.5996511831322644,0.6013,0.5610773822633045,0.5625,0.5323755739458632,0.5334,0.40646578661024135,0.4074,0.2130043614197715,0.2134,0.25133797797335977,0.2522,378.3618047414425,381.911333,321.63150197993576,376.248,294.25162862335816,359.160667,302.2593723836289,344.891333,330.1554140114802,413.19,266.1638634909698,402.599333
