Hour,G,Pc,Pd,S,Q,SOC
0,281.9562199344809,260.0,0.0,118.80541993448094,0.0,649.4
1,297.35265008857755,260.0,0.0,159.86585008857753,0.0,893.8
2,115.24712211691133,260.0,221.52599999999995,180.0,20.565121690287242,900.0
3,107.47919320902378,260.0,227.2920000000001,180.0,93.20439363564788,900.0
4,146.79900876493417,260.0,227.2920000000001,180.0,145.87980833831023,900.0
5,144.7218318531323,260.0,227.2920000000001,180.0,220.30063227975643,900.0
6,117.85031917326452,260.0,249.23768082673556,180.0,289.7472,876.402493734693
7,115.23711759365165,260.0,260.0,180.0,339.9559180202756,841.2326012615747
8,93.99129414485924,260.0,260.0,180.0,393.4876945714832,806.0627087884563
9,70.22929369013582,260.0,260.0,180.0,431.67009411675986,770.892816315338
10,62.392893704994776,260.0,260.0,180.0,440.5560941316187,735.7229238422196
11,27.757538722462186,260.0,260.0,180.0,448.80793872246215,700.5530313691013
12,4.070134750681518,260.0,260.0,180.0,431.7201347506814,665.3831388959829
13,3.5182146580266362,260.0,260.0,180.0,382.1058146580266,630.2132464228647
14,0.0,260.0,226.27609896725505,180.0,346.144899393879,631.305613124741
15,0.0,260.0,225.81516472723212,180.0,274.8136451538561,632.8936080416956
16,0.0,260.0,195.52030000119038,180.0,220.73630000119033,667.0567263199856
17,0.0,260.0,181.74199642825994,180.0,155.41999685488395,716.0352247842222
18,0.0,260.0,156.44025456324488,180.0,103.51545456324482,792.2198972968622
19,0.0,260.0,176.51183082462143,180.0,31.28743039799747,846.8222297435058
20,0.0,251.33444542795291,170.26124585457683,180.0,0.0,900.0
21,0.0,212.68474868490233,189.95914868490235,180.0,0.0,895.6665146402573
22,0.0,188.81599984001605,218.64000026664002,180.0,0.0,838.0567800096144
23,0.4678580370480745,178.04145761042406,260.0,180.0,0.0,725.8458576902947
24,226.68115617265238,260.0,65.32864765197404,113.05100382462649,0.0,900.0
25,78.97566792872897,260.0,227.2920000000001,154.8288679287291,0.0,900.0
26,114.6420815990893,260.0,227.2920000000001,180.0,17.662082025713403,900.0
27,114.9874377086972,260.0,227.2920000000001,180.0,88.96223813532129,900.0
28,147.62934497936368,260.0,227.2920000000001,180.0,145.40454497936378,900.0
29,111.41814276876386,260.0,257.2426845597659,180.0,222.2596277551537,867.7949628389615
30,111.55200000000013,260.0,260.0,180.0,287.0688,832.6250703658432
31,99.0111610709206,260.0,260.0,180.0,349.9955606442966,797.4551778927248
32,76.3295984846743,260.0,260.0,180.0,404.77959848467424,762.2852854196065
33,88.68371442146179,260.0,260.0,180.0,419.48131484808573,727.1153929464881
34,49.354301787545864,260.0,260.0,180.0,449.43110221416987,691.9455004733697
35,39.1903653486728,260.0,260.0,180.0,440.8231653486728,656.7756080002514
36,0.0,260.0,254.79086321303168,180.0,438.3295036396556,627.2069378787119
37,0.0,260.0,256.2179727726301,180.0,387.370052346006,596.1037413490021
38,0.0,260.0,225.31840344853288,180.0,346.8384030219089,598.2258881785366
39,0.0,260.0,203.57530837752392,180.0,290.8509079508999,623.7277071274356
40,0.0,260.0,186.9683890962753,180.0,226.8275895228993,667.0864285292901
41,0.0,260.0,190.25820883983943,180.0,149.47220883983948,706.907709346667
42,0.0,260.0,169.92819069321217,180.0,94.33459026658818,768.5892247303099
43,0.0,260.0,170.69953603332175,180.0,35.12633603332176,829.441336522437
44,0.0,243.37719741848434,182.70719741848427,180.0,0.0,861.756550032926
45,0.0,200.63424208407667,209.43504165745264,180.0,0.0,825.1537680678155
46,0.0,181.77439984001603,230.37600026664,180.0,0.0,748.3055745984627
47,0.0,180.2270358139615,256.7270358139615,180.0,0.0,641.6684121195419
48,22.420231227316776,260.0,260.0,118.53983165394084,0.0,606.4985196464236
49,49.21207776321722,260.0,260.0,153.16527733659325,0.0,571.3286271733052
50,88.08627363277333,260.0,260.0,180.0,14.201474059397356,536.1587347001869
51,94.12250800938,260.0,260.0,180.0,82.27090758275597,500.98884222706863
52,98.8763134752312,260.0,260.0,180.0,154.5883134752312,465.81894975395033
53,119.44699877937364,260.0,260.0,180.0,215.95779877937366,430.64905728083204
54,116.06399973335999,260.0,260.0,180.0,284.36160015998405,395.47916480771374
55,115.8380789658678,260.0,260.0,180.0,339.58407939249173,360.30927233459545
56,103.7747181007802,260.0,260.0,180.0,387.23271852740424,325.13937986147715
57,59.22139360478354,260.0,260.0,180.0,438.9405940314075,289.96948738835886
58,39.148862106000706,260.0,260.0,180.0,456.3776621060008,254.7995949152406
59,33.12350638160399,260.0,260.0,180.0,445.06030595498,219.6297024421223
60,0.0,260.0,256.5543214548038,180.0,437.0734410281798,188.16484066276334
61,0.0,260.0,242.86543103526424,180.0,396.9986310352642,171.41921589366203
62,0.0,260.0,245.58221124153636,180.0,332.1646116681603,151.7523220855584
63,0.0,260.0,221.80137083444583,180.0,277.7080104078218,157.65622441411125
64,0.0,260.0,184.90516639442308,180.0,228.29716596779906,203.23346485021546
65,0.0,260.0,192.50407743067245,180.0,147.9036770040484,240.6398332043311
66,0.0,260.0,183.08863831850465,180.0,85.37663831850466,288.1703296360465
67,0.0,260.0,178.64711623386995,180.0,29.877116660493925,340.47665626629384
68,0.0,226.9984452229039,208.32524479627983,180.0,0.0,329.8495552099312
69,0.0,193.84329438144766,220.4104948080717,180.0,0.0,275.06171987680204
70,0.0,183.94400000000002,226.76,180.0,0.0,204.14112288755476
71,3.9824531772234195,175.98805275059948,260.0,180.0,0.0,90.0
72,60.48471587088093,260.0,227.292,115.473915870881,0.0,90.0
73,91.51394504048577,260.0,227.292,147.74474546710974,0.0,90.0
74,104.90179381879958,260.0,227.292,180.0,23.14099381879953,90.0
75,113.52341236562327,260.0,227.292,180.0,89.78941193899925,90.0
76,142.05306536743493,260.0,227.292,180.0,148.59626579405892,90.0
77,138.20973149932584,260.0,227.292,180.0,224.1053319259497,90.0
78,364.6641281757893,260.0,0.9838720908506776,180.0,290.61119984001596,333.34207302059065
79,106.43619697238125,260.0,260.0,180.0,345.4013965457573,298.17218054747235
80,109.40428633565705,260.0,260.0,180.0,383.6334863356569,263.00228807435406
81,65.81996676519088,260.0,260.0,180.0,434.5823671918149,227.83239560123576
82,61.996862215184706,260.0,260.0,180.0,440.82566178856064,192.66250312811746
83,48.01557323288421,260.0,260.0,180.0,434.65957280626026,157.49261065499917
84,2.8740636180940555,260.0,260.0,180.0,432.57206319146997,122.32271818188087
85,0.0,260.0,257.3521279091492,180.0,386.5522079091493,90.0
86,0.0,260.0,225.9568672101616,180.0,346.37606721016164,91.43562665574021
87,0.0,260.0,213.68230567277925,180.0,283.5627056727792,106.06970657748295
88,0.0,260.0,191.89470875730257,180.0,223.31870833067853,144.13131006425436
