Hour,G,Pc,Pd,S,Q,SOC
0,439.25112289644613,100.0,0.0,0.0,380.29212244649113,250.5
1,471.17268235642825,100.0,0.0,0.0,423.61918235642827,343.5
2,399.4215999560375,100.0,79.58,0.0,484.6815999560374,350.0
3,393.44160000000005,100.0,85.56,0.0,557.0316,350.0
4,393.4415996040396,100.0,85.56,0.0,634.6816000539945,350.0
5,393.44160000000005,100.0,85.56,0.0,712.3316,350.0
6,393.4416003959605,100.0,85.56,0.0,784.6815999460055,350.0
7,379.0016003959604,100.0,100.0,0.0,846.8115999460053,334.304347826087
8,379.00160000000005,100.0,100.0,0.0,894.4916,318.608695652174
9,374.77519920531904,100.0,100.0,0.0,920.235199655274,302.913043478261
10,359.93001856590865,100.0,100.0,0.0,928.2190181159535,287.217391304348
11,334.6332886761188,100.0,100.0,0.0,918.3117886761188,271.521739130435
12,298.38204064324293,100.0,100.0,0.0,891.7130410931978,255.82608695652195
13,277.5702197158653,100.0,100.0,0.0,846.0335197158652,240.13043478260892
14,259.6242044760112,100.0,100.0,0.0,786.5369049259662,224.43478260869588
15,222.5940153365231,100.0,100.0,0.0,721.1775153365231,208.73913043478285
16,185.2800010011403,100.0,100.0,0.0,651.2360014510953,193.04347826086982
17,172.16027020162738,100.0,100.0,0.0,577.5977706515824,177.3478260869568
18,159.01862630995447,100.0,100.0,0.0,509.5751267599095,161.65217391304375
19,237.11157203953184,100.0,100.0,0.0,438.4900724894868,145.95652173913072
20,191.17880096004393,100.0,100.0,0.0,400.483801409999,130.2608695652177
21,230.98867848501482,100.0,100.0,0.0,365.0851784850148,114.56521739130466
22,241.44307588832305,100.0,100.0,0.0,353.439576338278,98.86956521739162
23,259.8570825452611,100.0,100.0,0.0,361.1485829952161,83.17391304347859
24,420.77772279128425,100.0,0.0,0.0,382.81122234132926,176.1739130434786
25,436.1979617855524,100.0,0.0,0.0,428.3884622355074,269.1739130434786
26,467.8016003519976,100.0,11.200000000000305,0.0,484.6815999020429,350.0
27,393.44160000000005,100.0,85.56,0.0,557.0316,350.0
28,393.44160000000005,100.0,85.56,0.0,634.6816,350.0
29,393.4415996040397,100.0,85.56,0.0,712.3316000539946,350.0
30,393.4416003959605,100.0,85.56,0.0,784.6815999460055,350.0
31,379.0015996040396,100.0,100.0,0.0,846.8116000539947,334.304347826087
32,379.0016003959605,100.0,100.0,0.0,894.4915999460054,318.608695652174
33,374.7751995977858,100.0,100.0,0.0,920.2351995977857,302.913043478261
34,363.3048153107957,100.0,100.0,0.0,927.6923157607507,287.217391304348
35,343.502409760265,100.0,100.0,0.0,916.85340931031,271.521739130435
36,296.43359613159225,100.0,100.0,0.0,892.0460961315922,255.82608695652195
37,273.6847079515901,100.0,100.0,0.0,846.7137075016351,240.13043478260892
38,259.05733985869597,100.0,100.0,0.0,786.636939858696,224.43478260869588
39,241.37131044739147,100.0,100.0,0.0,717.8904099974364,208.73913043478285
40,220.4327137486393,100.0,100.0,0.0,645.2272141985943,193.04347826086982
41,182.45540708871516,100.0,100.0,0.0,575.9049066387602,177.3478260869568
42,150.84437711364978,100.0,100.0,0.0,510.85087666369475,161.65217391304375
43,159.336521402855,100.0,100.0,0.0,449.882521402855,145.95652173913072
44,204.78140141935097,100.0,100.0,0.0,398.628901419351,130.2608695652177
45,188.50579907542578,100.0,100.0,0.0,370.8782986254708,114.56521739130466
46,266.8900356113993,100.0,100.0,0.0,349.96953606135423,98.86956521739162
47,289.6164831844542,100.0,100.0,0.0,357.0904831844541,83.17391304347859
48,315.39608276064865,100.0,100.0,0.0,383.5450823106937,67.47826086956556
49,366.75332273028664,100.0,100.0,0.0,424.2218222803316,51.78260869565253
50,379.00159995603747,100.0,100.0,0.0,484.6815999560374,36.086956521739495
51,392.4415999999997,100.0,86.56000000000034,0.0,557.0316,35.0
52,467.8016003959603,100.0,11.2000000000002,0.0,634.6815999460055,115.82608695652152
53,479.00160000000005,100.0,0.0,0.0,712.3316,208.82608695652152
54,479.0015996040396,100.0,0.0,0.0,784.6816000539945,301.8260869565215
55,379.0016003959604,100.0,100.0,0.0,846.8115999460053,286.1304347826085
56,379.00160000000005,100.0,100.0,0.0,894.4916,270.4347826086955
57,374.7751995977858,100.0,100.0,0.0,920.2351995977857,254.73913043478245
58,370.83680325202965,100.0,100.0,0.0,926.5168032520296,239.04347826086942
59,318.8775569995066,100.0,100.0,0.0,920.9025565495515,223.3478260869564
60,300.7570681495133,100.0,100.0,0.0,891.3070685994683,207.65217391304336
61,295.9270246782992,100.0,100.0,0.0,842.8200242283442,191.95652173913032
62,277.48274735144486,100.0,100.0,0.0,783.3853973514448,176.2608695652173
63,252.9324898922842,100.0,100.0,0.0,715.8665394423291,160.56521739130426
64,180.72824966592458,100.0,100.0,0.0,652.0140496659245,144.86956521739123
65,184.0437332685048,100.0,100.0,0.0,575.6437328185498,129.1739130434782
66,165.67480128937495,100.0,100.0,0.0,508.53630173932993,113.47826086956516
67,129.25094148166477,100.0,100.0,0.0,454.28944148166477,97.78260869565213
68,200.49272179533915,100.0,100.0,0.0,399.2137213453842,82.0869565217391
69,198.60379863324528,100.0,100.0,0.0,369.5012986332453,66.39130434782606
70,216.7564361569726,100.0,100.0,0.0,356.8059366069276,50.69565217391303
71,313.6734837770397,100.0,100.0,0.0,353.8099833270847,35.0
72,318.36000269531985,100.0,85.56,0.0,385.11000224536485,35.0
73,382.15560233913874,100.0,85.56,0.0,424.09060233913874,35.0
74,393.4416003519979,100.0,85.56,0.0,484.6815999020429,35.0
75,393.44160000000005,100.0,85.56,0.0,557.0316,35.0
76,467.80159999999984,100.0,11.2000000000002,0.0,634.6816,115.82608695652152
77,479.00160000000005,100.0,0.0,0.0,712.3316,208.82608695652152
78,479.0016003959605,100.0,0.0,0.0,784.6815999460055,301.8260869565215
79,379.0015996040397,100.0,100.0,0.0,846.8116000539947,286.1304347826085
80,379.0016003959605,100.0,100.0,0.0,894.4915999460054,270.4347826086955
81,374.77519920531904,100.0,100.0,0.0,920.235199655274,254.73913043478245
82,370.83680325202965,100.0,100.0,0.0,926.5168032520296,239.04347826086942
83,352.8932430537999,100.0,100.0,0.0,915.3092430537998,223.3478260869564
84,326.3750832899641,100.0,100.0,0.0,886.928083739919,207.65217391304336
85,291.3085270935178,100.0,100.0,0.0,843.6285266435627,191.95652173913032
86,248.70229986277116,100.0,100.0,0.0,788.4642998627711,176.2608695652173
87,221.5485345360807,100.0,100.0,0.0,721.3605345360806,160.56521739130426
88,184.6920087577417,100.0,100.0,0.0,651.3365092076966,144.86956521739123
89,160.5202747371677,100.0,100.0,0.0,579.5117742872127,129.1739130434782
90,166.09519128807517,100.0,100.0,0.0,508.47069173803015,113.47826086956516
91,163.3165319766768,100.0,100.0,0.0,449.2995315267218,97.78260869565213
92,198.58004139047154,100.0,100.0,0.0,399.4745413904716,82.0869565217391
