Hour,G,Pc,Pd,S,Q,SOC
0,389.9319833731676,90.0,0.0,0.0,381.37848292321263,227.7
1,448.2364514471877,90.0,0.0,0.0,418.7694518971427,311.4
2,382.56400038383026,90.0,69.09199999999997,0.0,480.29600083378523,320.0
3,374.65200000000004,90.0,77.00399999999999,0.0,552.6460000000001,320.0
4,374.6520003824618,90.0,77.00399999999999,0.0,630.2959999325068,320.0
5,374.6519996175383,90.0,77.00399999999999,0.0,707.9460000674933,320.0
6,374.65200000000004,90.0,77.00399999999999,0.0,780.296,320.0
7,361.6559996175383,90.0,90.0,0.0,842.4260000674933,305.8739130434783
8,361.6559996175382,90.0,90.0,0.0,890.1060000674931,291.7478260869566
9,357.53020000000004,90.0,90.0,0.0,915.9502,277.6217391304349
10,353.68560145690867,90.0,90.0,0.0,922.3256014569087,263.4956521739132
11,350.384162886259,90.0,90.0,0.0,908.804163336214,249.36956521739145
12,307.4920429762218,90.0,90.0,0.0,884.9200434261767,235.24347826086972
13,273.90664603031485,90.0,90.0,0.0,842.8005964802699,221.117391304348
14,256.395798855712,90.0,90.0,0.0,783.961899305667,206.99130434782626
15,219.9362965623485,90.0,90.0,0.0,720.0857970123035,192.86521739130453
16,191.53387849899525,90.0,90.0,0.0,649.8745284989952,178.7391304347828
17,195.71264553642715,90.0,90.0,0.0,573.3266450864721,164.61304347826106
18,153.06891988273657,90.0,90.0,0.0,511.9684194327815,150.48695652173933
19,193.81101682887225,90.0,90.0,0.0,444.70751727882725,136.3608695652176
20,212.6645979772602,90.0,90.0,0.0,396.77859797726023,122.23478260869587
21,229.02795055291858,90.0,90.0,0.0,363.9209505529186,108.10869565217413
22,270.0855021390606,90.0,90.0,0.0,346.4555025890156,93.9826086956524
23,288.0324137026896,90.0,90.0,0.0,353.50841325273456,79.85652173913067
24,391.1712830161023,90.0,0.0,0.0,381.1597830161023,163.5565217391307
25,451.65600146114593,90.0,0.0,0.0,418.1660019111009,247.25652173913068
26,441.5760011487536,90.0,10.080000000000211,0.0,480.2960006987988,320.0
27,374.65200000000004,90.0,77.00399999999999,0.0,552.6460000000001,320.0
28,374.65200000000004,90.0,77.00399999999999,0.0,630.296,320.0
29,374.6519996175383,90.0,77.00399999999999,0.0,707.9460000674933,320.0
30,374.6519996175382,90.0,77.00399999999999,0.0,780.2960000674932,320.0
31,361.65600000000006,90.0,90.0,0.0,842.426,305.8739130434783
32,361.6559996175382,90.0,90.0,0.0,890.1060000674931,291.7478260869566
33,357.530199621032,90.0,90.0,0.0,915.950200070987,277.6217391304349
34,353.6856010811962,90.0,90.0,0.0,922.3256015311512,263.4956521739132
35,339.3074274454922,90.0,90.0,0.0,911.0924274454921,249.36956521739145
36,303.353818782875,90.0,90.0,0.0,885.8038187828748,235.24347826086972
37,280.59793682290444,90.0,90.0,0.0,841.3419363729494,221.117391304348
38,259.90720323708956,90.0,90.0,0.0,783.1911032370895,206.99130434782626
39,230.70753368599298,90.0,90.0,0.0,717.737733685993,192.86521739130453
40,176.68521656781667,90.0,90.0,0.0,653.0456665678166,178.7391304347828
41,147.72240910020656,90.0,90.0,0.0,583.2406086502516,164.61304347826106
42,178.0825972135625,90.0,90.0,0.0,507.0255972135625,150.48695652173933
