Hour,G,Pc,Pd,S,Q,SOC
0,383.85003851860284,85.0,0.0,0.0,370.93023897855693,214.05
1,439.9660846668322,85.0,0.0,0.0,406.29208466683235,293.1
2,373.5880986312941,85.0,66.37800000000003,0.0,468.42209863129415,300.0
3,367.2401,85.0,72.72600000000001,0.0,540.7721,300.0
4,367.2401,85.0,72.72600000000001,0.0,618.4221,300.0
5,367.24009962283765,85.0,72.72600000000001,0.0,696.0721000827917,300.0
6,367.2401,85.0,72.72600000000001,0.0,768.4221,300.0
7,354.96609962283765,85.0,85.0,0.0,830.5521000827918,286.65869565217395
8,354.9661003771623,85.0,85.0,0.0,878.2320999172083,273.3173913043479
9,350.8000003735908,85.0,85.0,0.0,904.0359999136368,259.97608695652184
10,346.91790103997687,85.0,85.0,0.0,910.3739005800229,246.63478260869576
11,336.6396243662573,85.0,85.0,0.0,898.5696243662574,233.29347826086968
12,291.69574459564717,85.0,85.0,0.0,877.0893450556011,219.9521739130436
13,282.6763070679326,85.0,85.0,0.0,829.9947066079786,206.6108695652175
14,254.623463263693,85.0,85.0,0.0,774.720343263693,193.26956521739143
15,220.780890380252,85.0,85.0,0.0,711.866669920298,179.92826086956535
16,186.65858345270914,85.0,85.0,0.0,644.5276029927552,166.58695652173927
17,209.5965591037682,85.0,85.0,0.0,563.1415591037683,153.2456521739132
18,150.86628576395918,85.0,85.0,0.0,507.8646857639592,139.9043478260871
19,169.0597709213613,85.0,85.0,0.0,444.1389709213613,126.56304347826102
20,201.74743768523354,85.0,85.0,0.0,392.2454381451876,113.22173913043494
21,213.96871925981407,85.0,85.0,0.0,359.59271971976807,99.88043478260886
22,243.42426877584717,85.0,85.0,0.0,342.90686831589323,86.53913043478278
23,288.64300235103724,85.0,85.0,0.0,343.2008018910833,73.1978260869567
24,386.5771949163387,85.0,0.0,0.0,370.3315949163389,152.2478260869567
25,439.96608466683233,85.0,0.0,0.0,406.29208466683235,231.29782608695672
26,430.4460986312939,85.0,9.520000000000191,0.0,468.42209863129415,300.0
27,367.2401,85.0,72.72600000000001,0.0,540.7721,300.0
28,367.24009962283765,85.0,72.72600000000001,0.0,618.4221000827918,300.0
29,367.2401,85.0,72.72600000000001,0.0,696.0721,300.0
30,367.2401003771623,85.0,72.72600000000001,0.0,768.4220999172084,300.0
31,354.96609962283765,85.0,85.0,0.0,830.5521000827918,286.65869565217395
32,354.9661,85.0,85.0,0.0,878.2321,273.3173913043479
33,350.799999626409,85.0,85.0,0.0,904.0360000863631,259.97608695652184
34,346.91790103997687,85.0,85.0,0.0,910.3739005800229,246.63478260869576
35,334.0712055839282,85.0,85.0,0.0,899.2166051239742,233.29347826086968
36,281.7573242230552,85.0,85.0,0.0,879.6675237631013,219.9521739130436
37,292.9156144481102,85.0,85.0,0.0,827.2896149080642,206.6108695652175
38,270.98409458968473,85.0,85.0,0.0,770.3713145896847,193.26956521739143
39,232.9130510324237,85.0,85.0,0.0,708.6615110324237,179.92826086956535
40,200.76632005714248,85.0,85.0,0.0,640.8678400571425,166.58695652173927
41,187.78153233234235,85.0,85.0,0.0,568.6367323323424,153.2456521739132
42,203.10080289850669,85.0,85.0,0.0,495.2116033584607,139.9043478260871
43,183.12687638797684,85.0,85.0,0.0,440.8870763879769,126.56304347826102
44,189.0395697711029,85.0,85.0,0.0,395.034970231057,113.22173913043494
45,241.3987032265071,85.0,85.0,0.0,353.57150368646114,99.88043478260886
46,236.510192767454,85.0,85.0,0.0,344.4245923075,86.53913043478278
47,265.7733664750507,85.0,85.0,0.0,348.2209660150967,73.1978260869567
48,302.8219553028916,85.0,85.0,0.0,370.05835484293766,59.85652173913061
49,354.96608466683233,85.0,85.0,0.0,406.29208466683235,46.51521739130453
50,354.9660982541317,85.0,85.0,0.0,468.4220987140858,33.17391304347845
51,364.3200999999997,85.0,75.64600000000017,0.0,540.7721,30.0
52,430.44609962283755,85.0,9.520000000000113,0.0,618.4221000827918,98.70217391304335
53,439.9661,85.0,0.0,0.0,696.0721,177.75217391304335
54,439.9661003771623,85.0,0.0,0.0,768.4220999172084,256.80217391304336
55,354.96609962283765,85.0,85.0,0.0,830.5521000827918,243.4608695652173
56,354.9661,85.0,85.0,0.0,878.2321,230.11956521739123
57,350.7999996264091,85.0,85.0,0.0,904.0360000863631,216.77826086956514
58,346.91790103997687,85.0,85.0,0.0,910.3739005800229,203.43695652173906
59,328.12966907185853,85.0,85.0,0.0,900.7132690718586,190.09565217391298
60,286.6224381229938,85.0,85.0,0.0,878.4054385829477,176.7543478260869
61,284.0375452126791,85.0,85.0,0.0,829.6350852126791,163.41304347826082
62,260.6413672364706,85.0,85.0,0.0,773.1206472364706,150.07173913043474
63,219.61177534982716,85.0,85.0,0.0,712.1755348898731,136.73043478260865
64,183.6880145265182,85.0,85.0,0.0,645.2982140665642,123.38913043478257
65,199.3449291772796,85.0,85.0,0.0,565.7239296372336,110.04782608695649
66,170.66252357628838,85.0,85.0,0.0,503.0693235762884,96.70652173913041
67,188.3950357809377,85.0,85.0,0.0,439.6692353209837,83.36521739130433
68,216.62797758468304,85.0,85.0,0.0,388.97897804463713,70.02391304347825
69,210.6870796409611,85.0,85.0,0.0,360.3130796409611,56.68260869565216
70,251.52652403135824,85.0,85.0,0.0,341.12832449131224,43.34130434782608
71,273.08350205824826,85.0,85.0,0.0,346.6163020582483,30.0
72,325.49535900418243,85.0,72.726,0.0,367.77555900418247,30.0
73,348.35368046649944,85.0,72.726,0.0,410.43788046649945,30.0
74,361.7518380217198,85.0,72.726,0.0,469.62683848167376,30.0
75,367.2401003771623,85.0,72.726,0.0,540.7720999172084,30.0
76,430.4460999999999,85.0,9.520000000000113,0.0,618.4221,98.70217391304335
77,439.9661003771623,85.0,0.0,0.0,696.0720999172083,177.75217391304335
78,439.9661,85.0,0.0,0.0,768.4221,256.80217391304336
79,354.9661003771623,85.0,85.0,0.0,830.5520999172084,243.4608695652173
80,354.96609962283776,85.0,85.0,0.0,878.2321000827917,230.11956521739123
81,350.79999999999984,85.0,85.0,0.0,904.036,216.77826086956514
82,346.91790029945093,85.0,85.0,0.0,910.3739007594049,203.43695652173906
83,343.58427663547275,85.0,85.0,0.0,896.8202770954268,190.09565217391298
84,300.57129228686927,85.0,85.0,0.0,874.7868918269153,176.7543478260869
85,291.88513397329086,85.0,85.0,0.0,827.5618544332449,163.41304347826082
86,261.0185764347643,85.0,85.0,0.0,773.0203764347643,150.07173913043474
87,223.28831936769728,85.0,85.0,0.0,711.2042398276512,136.73043478260865
88,223.49648671332346,85.0,85.0,0.0,634.9712867133235,123.38913043478257
89,179.4259027114046,85.0,85.0,0.0,570.7415031713587,110.04782608695649
90,190.79203101519528,85.0,85.0,0.0,498.19323147514933,96.70652173913041
91,135.25388240557436,85.0,85.0,0.0,451.9538824055744,83.36521739130433
92,198.90712170442606,85.0,85.0,0.0,392.86892216438014,70.02391304347825
93,183.75500005082574,85.0,85.0,0.0,366.2249995908718,56.68260869565216
94,248.4259404047566,85.0,85.0,0.0,341.8089404047566,43.34130434782608
95,243.49216184154864,85.0,85.0,0.0,353.1119623015027,30.0
96,308.83820725568313,85.0,72.726,0.0,371.4320067957292,30.0
97,353.0611368935949,85.0,72.726,0.0,409.4045364336409,30.0
98,367.2400982541317,85.0,72.726,0.0,468.4220987140858,30.0
99,367.24009962283765,85.0,72.726,0.0,540.7721000827918,30.0
100,430.4461003771622,85.0,9.520000000000113,0.0,618.4220999172084,98.70217391304335
101,439.9661,85.0,0.0,0.0,696.0721,177.75217391304335
102,439.9661,85.0,0.0,0.0,768.4221,256.80217391304336
103,354.9661,85.0,85.0,0.0,830.5521,243.4608695652173
104,354.9661003771623,85.0,85.0,0.0,878.2320999172083,230.11956521739123
105,350.799999626409,85.0,85.0,0.0,904.0360000863631,216.77826086956514
106,346.91790103997687,85.0,85.0,0.0,910.3739005800229,203.43695652173906
107,336.60655459179725,85.0,85.0,0.0,898.5779545917973,190.09565217391298
108,314.706422631843,85.0,85.0,0.0,871.120022171889,176.7543478260869
109,296.23629447762266,85.0,85.0,0.0,826.4123344776227,163.41304347826082
110,246.99860413482077,85.0,85.0,0.0,776.7472045947749,150.07173913043474
111,235.12792945109612,85.0,85.0,0.0,708.0763689911421,136.73043478260865
112,179.1954536274465,85.0,85.0,0.0,646.4636531674926,123.38913043478257
113,183.84622937256512,85.0,85.0,0.0,569.6280293725652,110.04782608695649
114,210.23278120115754,85.0,85.0,0.0,493.4839812011576,96.70652173913041
115,182.47676352087962,85.0,85.0,0.0,441.0373630609256,83.36521739130433
116,200.3329380719539,85.0,85.0,0.0,392.55593807195396,70.02391304347825
