Hour,G,Pc,Pd,S,Q,SOC
0,0.0,240.0,201.78561364905084,53.56311364905088,0.0,378.62622188274105
1,0.0,240.0,223.756864078339,74.38936449496401,0.0,363.62744330388193
2,0.0,165.04003232049308,226.52999465673378,208.08996233624072,0.0,275.18443426930264
3,5.249998091554971,202.599998091555,240.0,220.0,0.0,207.56391634633206
4,10.50936685314906,240.0,240.0,220.0,33.82186726977403,175.0994002172998
5,16.640614956580862,240.0,240.0,220.0,103.97811495658084,142.63488408826754
6,26.349367475860618,240.0,240.0,220.0,164.4618670592356,110.17036795923528
7,0.0,240.0,236.0064422020888,220.0,203.11144178546374,82.0
8,0.0,240.0,209.80800000000002,220.0,260.4679995833749,82.0
9,0.0,240.0,209.80800000000002,220.0,273.5754999999999,82.0
10,0.0,240.0,209.80800000000002,220.0,316.720500416625,82.0
11,0.0,240.0,145.67519546504985,220.0,322.86769546504985,150.9600048762905
12,0.0,240.0,119.79495322673392,220.0,275.9199536433589,247.74822721313575
13,0.0,240.0,118.92545195479943,220.0,240.37420237142442,345.4713971542116
14,0.0,240.0,117.56676189243842,220.0,207.8367618924384,444.65552415158965
15,0.0,240.0,119.827027212286,220.0,166.17452762891094,541.4092583319273
16,0.0,240.0,121.08150122487052,220.0,124.74400164149552,636.8140957245396
17,0.0,240.0,138.66298634887733,220.0,57.287986348877325,713.3141104031661
18,0.0,240.0,125.44312225831953,220.0,36.680622674944516,804.0290327060484
19,0.0,240.0,194.955000416625,220.0,0.0,820.0
20,0.0,218.0246422893487,190.59714228934862,220.0,0.0,820.0
21,0.0,119.96749517703768,139.2974951770376,220.0,0.0,782.9871925878804
22,0.0,80.9962424671777,162.82124246717774,220.0,0.0,684.0470557036105
23,0.0,67.22248697987436,182.45248739649935,220.0,0.0,551.0507231458758
24,0.0,214.60686340734145,182.24436474829537,102.84000134095396,0.0,556.819492223728
25,0.0,99.95123948412515,219.20623948412515,220.0,0.0,415.0680234849077
26,1.3181193079195737,135.05561930791953,240.0,220.0,0.0,283.9557895053198
27,10.312498052160493,196.41249805216052,240.0,220.0,0.0,210.51902154531842
28,15.374992073517262,240.0,240.0,220.0,27.87499165689229,178.05450541628616
29,35.15811441939502,240.0,240.0,220.0,81.34561400277005,145.5899892872539
30,31.62561694813462,240.0,240.0,220.0,158.01311736475964,113.12547315822164
31,0.0,240.0,238.75469003714613,220.0,199.04719045377112,82.0
32,0.0,240.0,209.80800000000002,220.0,253.49300041662505,82.0
33,0.0,240.0,209.80800000000002,220.0,283.6379999999999,82.0
34,0.0,240.0,209.80800000000002,220.0,381.17050041662503,82.0
35,0.0,240.0,209.80800000000002,220.0,342.487999583375,82.0
36,0.0,240.0,153.72129465881702,220.0,318.0687950754419,142.30828531310001
37,0.0,240.0,111.53439805608173,220.0,259.74939805608165,247.97882503774332
38,0.0,240.0,117.72962819073155,220.0,207.44587860735646,346.98782698319326
39,0.0,240.0,110.86466839876539,220.0,184.98341798214028,453.3785061243058
40,0.0,240.0,110.10150140016498,220.0,144.26400098353997,560.5897949413327
41,0.0,240.0,105.06376158110493,220.0,106.97626199772992,673.2180082949833
42,0.0,240.0,132.71624729770963,220.0,27.791247297709617,756.1123660393816
43,0.0,240.0,150.39250041662496,220.0,0.0,820.0
44,0.0,147.98499053952457,140.89499053952454,220.0,0.0,807.6059012797073
45,0.0,99.71374460328354,155.86874460328352,220.0,0.0,733.7360205581018
46,0.0,64.76436708190175,176.10186666527676,220.0,0.0,605.2576797384478
47,0.0,74.86061241799189,176.2031128346169,220.0,0.0,486.16094268596567
48,0.0,65.34748827092847,208.50748827092843,220.0,0.0,323.3859813693175
