Hour,G,Pc,Pd,S,Q,SOC
0,0.0,247.21225903518723,185.7741590351872,0.0,0.0,415.1223632401866
1,0.0,250.0,176.82013964051015,51.86403964051016,0.0,459.99318083103594
2,0.0,250.0,193.32472911710335,84.5754291171034,0.0,487.11712801694637
3,0.0,250.0,209.14393339124013,134.06043339124017,0.0,497.2311781338925
4,0.0,250.0,216.96895545739068,207.82605545739074,0.0,498.9312260291714
5,0.0,250.0,235.5697104184768,220.0,50.70121084176776,480.63046213833616
6,1.6491023636483533,250.0,250.0,220.0,117.8708019403573,446.8132578372609
7,0.0,250.0,242.1160996246366,220.0,213.85099962463664,421.47336576775916
8,0.0,250.0,247.1125370660659,220.0,275.3031370660658,390.7609603203765
9,2.6405620737521076,250.0,250.0,220.0,317.81156249704304,356.94375601930125
10,0.0,250.0,241.43410819947212,220.0,357.7445086227631,332.33718806287965
11,0.0,250.0,220.2528880362545,220.0,383.4805884595455,330.50612565830494
12,0.0,250.0,233.74686166381537,220.0,348.42446124052435,314.1654141918368
13,0.0,250.0,222.0217079219051,220.0,318.28518792190516,310.43239492097115
14,0.0,250.0,199.34110492144453,220.0,280.6588949214446,331.08712081189105
15,0.0,250.0,175.99158428804083,220.0,230.21328428804077,376.8488581365783
16,0.0,250.0,151.22444815284518,220.0,173.83364772955417,449.24192463889534
17,0.0,250.0,160.0385445561829,220.0,80.65184413289194,512.1574681268708
18,0.0,250.0,145.82864116852272,220.0,15.554940745231704,590.3524776230829
19,0.0,219.81073253935494,123.87313253935497,220.0,0.0,663.7776495010927
20,0.0,141.07428384414357,140.7337838441435,220.0,0.0,645.0608270198097
21,0.0,102.94316422597672,138.1225638026857,220.0,0.0,593.3085155828884
22,0.0,62.61308848702345,151.0654880637324,220.0,0.0,489.7288100900104
23,0.0,54.37596989001304,155.64616989001303,220.0,0.0,373.4807487866087
24,0.0,250.0,175.3808201696712,13.603219746380262,0.0,419.8992217224461
25,0.0,250.0,187.3731622708674,34.79456227086746,0.0,453.42270315162096
26,0.0,250.0,207.83168475069414,60.906184750694194,0.0,464.94777331216494
27,0.0,250.0,223.43296909097808,110.94796909097806,0.0,459.69726891326377
28,0.0,250.0,205.5456461528678,220.0,5.841346152867686,473.68044509297584
29,0.0,250.0,242.81529058230808,220.0,39.72229058230812,447.58873478941877
30,7.637152170827221,250.0,250.0,220.0,109.25385217082726,413.7715304883435
31,2.3909261978907352,250.0,250.0,220.0,199.9196261978907,379.95432618726824
32,3.175517092222094,250.0,250.0,220.0,267.586617092222,346.137121886193
33,14.390344120086183,250.0,250.0,220.0,303.7676445433772,312.3199175851177
34,0.0,250.0,237.49456865613342,220.0,362.18696823284245,291.94941365379145
35,0.0,250.0,235.09816225497275,220.0,367.55376183168164,274.15569079898205
36,0.0,250.0,231.17272195702412,220.0,351.082721957024,260.58287149035397
37,0.0,250.0,205.37937594913365,220.0,335.06417637242475,274.74483283537154
38,0.0,250.0,198.01331992196788,220.0,281.98667992196783,296.82728453218033
39,0.0,250.0,174.13864209354608,220.0,232.081441670255,344.5814328186899
40,0.0,250.0,154.52334517294264,220.0,170.42694517294262,413.4272982241279
41,0.0,250.0,149.8741574443534,220.0,91.55675786764436,487.27229021944686
42,0.0,250.0,135.6514960310692,220.0,27.03129560777819,576.4104665301252
43,0.0,214.99113094118252,127.90543094118249,220.0,0.0,640.969408172705
44,0.0,166.9192910524206,120.42699147571153,220.0,0.0,668.3821530784196
45,0.0,90.34206886673815,147.41626844344717,220.0,0.0,594.7915812072963
46,0.0,59.518479047859785,153.21597947115083,220.0,0.0,485.99058648954167
47,0.0,68.32340604424996,146.44150604424993,220.0,0.0,392.7506031773195
48,0.0,243.66049530370015,188.02629572699118,0.0,0.0,419.6126561531297
49,0.0,250.0,187.2906787138797,34.92797913717067,0.0,453.2248295790655
50,0.0,250.0,199.27036096693166,74.87466096693174,0.0,473.9556242382788
51,0.0,250.0,211.42435690741343,130.37185648412242,0.0,481.6176060582644
52,0.0,250.0,225.73602518710823,193.99982476381717,0.0,473.89069725492226
53,0.0,250.0,231.60105127109296,220.0,56.714751694383835,459.85730879138146
54,4.606678354129713,250.0,250.0,220.0,113.61477793083873,426.0401044903062
55,0.8491631339081778,250.0,250.0,220.0,202.01006313390815,392.2229001892309
56,1.7841050862193697,250.0,250.0,220.0,269.35750508621936,358.40569588815566
57,0.0,250.0,249.69588522985066,220.0,321.3311852298507,324.91549671627325
58,0.0,250.0,232.88650072487405,220.0,367.38330030158306,309.4999045389893
59,0.0,250.0,228.76303468194703,220.0,374.35043510523803,298.5181468164657
60,0.0,250.0,215.72163705432888,220.0,367.03873705432875,301.55939729568195
61,0.0,250.0,217.5531446644443,220.0,322.7904442411532,302.63128475326874
62,0.0,250.0,198.73340992168391,220.0,281.26658992168404,323.93944612780217
63,0.0,250.0,171.0967808010688,220.0,235.14828080106884,374.96441300837336
64,0.0,250.0,169.23092844105048,220.0,155.2387288643415,427.99567274917933
65,0.0,250.0,132.7864695739205,220.0,109.88936957392048,520.2145226696949
66,0.0,250.0,136.77963664841246,220.0,25.759137071703435,608.1396445531224
67,0.0,210.1300408940118,131.9724404707208,220.0,0.0,663.7560330249764
68,0.0,154.43061955749272,130.23951955749266,220.0,0.0,668.878321261178
69,0.0,94.64719947380979,144.2410990505188,220.0,0.0,602.7487327982594
70,0.0,75.92814872800432,141.81264915129532,220.0,0.0,521.6344730850617
71,0.0,57.199120707848124,153.7830207078481,220.0,0.0,410.0435597678066
72,0.0,250.0,181.67398908773436,3.678489511025475,0.0,449.6951844046514
73,0.0,250.0,187.6642802982484,34.323679874957406,0.0,482.9056356968574
74,0.0,250.0,207.03056893177893,62.213268508487886,0.0,495.29212071645
75,0.0,250.0,209.95421131504412,132.74981173833515,0.0,504.5349042486606
76,0.0,250.0,221.18739927303852,201.17329927303842,0.0,501.69899105184504
77,0.0,250.0,229.74800049871385,220.0,59.522600922004926,489.6581303005398
78,0.0,250.0,238.58473923214513,220.0,136.67073923214502,468.11539994339455
79,0.0,250.0,240.9786452361285,220.0,215.39324481283745,443.99857710884777
80,0.0,250.0,246.77725706461945,220.0,275.7298570646194,413.64668779205266
81,0.0,250.0,249.57439560751038,220.0,321.4763956075103,380.2871226226867
82,12.534523083654449,250.0,250.0,220.0,333.9504230836544,346.46991832161143
83,0.0,250.0,229.51050636979278,220.0,373.5485063697928,334.6844276014042
84,0.0,250.0,223.61274915788886,220.0,358.8897491578889,329.24061130259895
85,0.0,250.0,211.98356661960997,220.0,328.405756196319,336.3012923567818
86,0.0,250.0,192.55104992412043,220.0,287.44894992412037,364.2571526534265
87,0.0,250.0,185.25756133229817,220.0,220.8712209090071,400.055473801493
88,0.0,250.0,160.2651755572088,220.0,164.49747598049976,462.72732804105345
89,0.0,250.0,129.60052578428986,220.0,113.30742536099888,558.3719239719246
90,0.0,250.0,135.0725028243025,220.0,27.684202824302474,648.1326736232122
91,0.0,215.62729092349122,127.37319050020022,220.0,0.0,713.8619071986055
92,0.0,159.48013921207803,126.27203963536897,220.0,0.0,727.996851353261
93,0.0,88.67556669625878,148.64536627296775,220.0,0.0,651.5181568725102
94,0.0,74.72926900111446,142.64576900111445,220.0,0.0,568.3811224205315
95,0.0,29.717392676498207,171.91969225320724,220.0,0.0,411.4555873932062
96,0.0,250.0,176.15945801713139,12.375258017131443,0.0,457.0368153317746
97,0.0,250.0,188.88697517232555,32.34597517232555,0.0,488.93254095292997
98,0.0,250.0,202.85607887636547,69.02427887636543,0.0,505.8077249568381
99,0.0,250.0,217.51357229855688,120.52257229855701,0.0,506.92216334548664
100,0.0,250.0,220.21163773624147,202.71213773624146,0.0,505.13545610221627
101,0.0,250.0,224.46655350648962,220.0,67.52535350648964,498.77357061136723
102,1.8469683630115696,250.0,250.0,220.0,117.58606793972058,464.95636631029197
103,0.0,250.0,249.42599740836818,220.0,203.93969698507726,431.7563690969929
104,0.0,250.0,237.49558902457738,220.0,287.54288902457733,411.3847679952968
105,0.0,250.0,246.1321896412037,220.0,325.59068964120365,381.726499563895
106,0.0,250.0,238.87937623758216,220.0,360.62537666087314,359.8669552224088
107,0.0,250.0,236.07232590987917,220.0,366.50862548658813,341.0257445666248
108,0.0,250.0,221.8695820843477,220.0,360.6898816610567,337.45630146517567
109,0.0,250.0,208.91577679880493,220.0,331.4987367988049,347.81568125140694
110,0.0,250.0,197.72566492208125,220.0,282.27433492208115,370.2074393997067
111,0.0,250.0,178.53384677500014,220.0,227.65014635170917,413.23556114701836
112,0.0,250.0,154.87322821231203,220.0,170.06562821231205,481.7052082305538
113,0.0,250.0,149.08992528084633,220.0,92.39812528084633,556.3934606167405
114,0.0,250.0,150.1501968289965,220.0,10.681697252287506,629.9416360694324
115,0.0,195.89250882618614,143.88420882618612,220.0,0.0,659.3663913271375
116,0.0,158.40622723512615,127.11582765841706,220.0,0.0,671.5845592739443
117,0.0,100.72847055205023,139.7559701287592,220.0,0.0,615.9940848952809
118,0.0,76.46764521697196,141.4377447936809,220.0,0.0,535.7900748468895
119,0.0,43.8637497715701,162.58374977157007,220.0,0.0,402.20076331864925
120,0.0,250.0,166.44126713675922,27.701467136759277,0.0,458.2316588705211
121,0.0,250.0,186.73755509254806,35.822654669257076,0.0,492.4385888785339
122,0.0,250.0,195.81011921517927,80.52031879188826,0.0,516.8900735933948
123,162.23136560235042,250.0,57.32003198318222,117.2263971622416,0.0,690.2556306007258
124,0.0,250.0,230.71832273105673,186.1424223077658,0.0,677.1714126103423
125,0.0,250.0,240.75522340691725,220.0,42.84382298362618,653.294828301829
126,0.0,250.0,235.55947241543083,220.0,141.02417199213983,635.0050730164196
127,2.919222632402125,250.0,250.0,220.0,199.2033226324022,601.1878687153443
128,0.0,250.0,246.53138506355867,220.0,276.04278506355865,571.1003578943134
129,4.810019615542046,250.0,250.0,220.0,315.21852003883293,537.2831535932382
130,0.0,250.0,243.27256017204706,220.0,355.671360595338,510.699755558779
131,0.0,250.0,244.19648297866604,220.0,357.792582978666,483.12289214085854
132,0.0,250.0,226.6617299231599,220.0,355.74112992315986,474.4006019009017
133,0.0,250.0,212.25739714499582,220.0,328.12967714499587,481.16684152993844
134,0.0,250.0,191.29374971297034,220.0,288.70625013626136,510.4746375374972
135,0.0,250.0,175.25926076486883,220.0,230.95162118815983,557.0238195107565
136,0.0,250.0,148.95645610011832,220.0,176.1757561001183,631.8555871450379
137,0.0,250.0,152.7476342625934,220.0,88.47393383930239,702.6108191207439
138,0.0,250.0,132.64908879157161,220.0,30.41698879157161,794.9773903126024
139,0.0,205.8497916679811,135.55349209127206,220.0,0.0,842.71975137161
140,0.0,155.63965976858753,129.28955934529648,220.0,0.0,850.0
141,0.0,85.5179831491705,150.97418357246153,220.0,0.0,768.0490723618746
142,0.0,57.899991578890535,154.34069115559953,220.0,0.0,656.5173320206558
143,0.0,46.41147149632542,160.90237107303437,220.0,0.0,527.1308129981325
144,27.677057885306453,250.0,145.24957395660982,17.473631841916358,0.0,605.94847541038
145,0.0,250.0,177.66438161265472,50.49848118936376,0.0,649.9115059344072
146,0.0,250.0,204.70443682968056,66.00853682968062,0.0,664.799208268084
147,0.0,250.0,219.51258170714505,117.28918170714508,0.0,663.7641741743797
148,0.0,250.0,224.26252654052007,196.32362654052008,0.0,657.6216725179065
149,0.0,250.0,229.26327893907842,220.0,60.2570789390785,646.102017744704
150,0.0,250.0,234.257722246071,220.0,142.89742224607107,629.2119938241975
151,0.0,250.0,241.94898526669806,220.0,214.07758568998906,604.0517946126943
152,17.385800967278442,250.0,250.0,220.0,249.50080139056945,570.234590311619
153,0.0,250.0,246.08590768749093,220.0,325.64600811078185,540.6260874218437
154,1.3665242502524961,250.0,250.0,220.0,346.5441242502525,506.80888312076854
155,0.0,250.0,234.93886464512775,220.0,367.72466506841874,489.18644801848063
156,0.0,250.0,221.76336759047558,220.0,360.7995671671845,485.7312140502273
157,0.0,250.0,217.4393118150732,220.0,322.90521181507324,486.92550242111633
158,0.0,250.0,198.15111513355907,220.0,281.84888471026807,508.859787223741
159,0.0,250.0,185.5706010901859,220.0,220.55561066689484,544.3215064816056
160,0.0,250.0,154.06099951981878,220.0,170.90439994310975,613.6645177506177
161,0.0,250.0,145.1871436841887,220.0,96.58524410747975,692.5493094880493
162,0.0,250.0,130.96583096778414,220.0,32.31513054449317,786.7258353291417
163,0.0,214.29273793967207,128.48973836296307,220.0,0.0,850.0
164,0.0,130.114692316399,149.3448918931079,220.0,0.0,811.7219055160087
165,0.0,92.5786902008025,145.7666897775115,220.0,0.0,742.007498199912
166,0.0,69.78388909750925,146.08238909750918,220.0,0.0,650.5265162123135
167,0.0,55.01098755364535,155.22708755364533,220.0,0.0,535.3259976808635
168,0.0,250.0,169.19606870984643,23.356968709846512,0.0,588.3947410036092
169,0.0,250.0,193.08392424061378,25.557424663904726,0.0,615.7776181642396
170,0.0,250.0,214.82455857407177,49.49675857407175,0.0,619.7834691598614
171,0.0,250.0,221.27384468940352,114.44034511269456,0.0,616.8546039024383
172,0.0,250.0,213.82483494993357,212.78453494993346,0.0,621.9354265369183
173,0.0,250.0,230.04085337762444,220.0,59.078853377624455,609.579670216892
174,4.742060006595466,250.0,250.0,220.0,113.41996042988649,575.7624659158168
175,9.52292824347046,250.0,250.0,220.0,190.24952782017942,541.9452616147416
176,6.025397104516742,250.0,250.0,220.0,263.9594971045167,508.1280573136664
177,4.896797917213576,250.0,250.0,220.0,315.11479834050454,474.3108530125911
178,4.422652005716145,250.0,250.0,220.0,343.09785242900716,440.49364871151585
179,0.016957646346327238,250.0,250.0,220.0,351.54805764634625,406.6764444104406
180,0.0,250.0,212.36026092708858,220.0,370.5099605037975,413.33207782217335
181,0.0,250.0,218.9469620836353,220.0,321.3851816603442,412.9052368720279
182,0.0,250.0,199.60970992133878,220.0,280.39028992133876,433.27114018241633
183,0.0,250.0,184.80728979300068,220.0,221.32518979300062,469.553624275964
184,0.0,250.0,163.2904144737139,220.0,161.37337447371385,528.9725334440136
185,0.0,250.0,139.82005362185396,220.0,102.34335362185402,613.6283897646008
186,0.0,250.0,139.00607407637642,220.0,23.248473653085455,699.1594929082821
187,0.0,204.21790406985474,136.91880364656373,220.0,0.0,743.899802683877
188,0.0,133.8556042361123,146.4056038128213,220.0,0.0,712.2986902219287
189,0.0,111.81655711815836,131.5781571181583,220.0,0.0,675.9243645386339
190,0.0,67.43858039296543,147.71217996967442,220.0,0.0,580.4863290653607
191,0.0,49.64011501105489,158.7716154343459,220.0,0.0,456.425870042047
192,0.0,244.98172022780608,187.188520651097,0.0,0.0,485.43070786145677
193,0.0,250.0,190.609422382461,29.559922805751967,0.0,515.474339708273
194,0.0,250.0,197.4750890122757,77.80378901227573,0.0,538.1355343187292
195,0.0,250.0,208.05709332443496,135.81839332443496,0.0,549.4182296687992
196,0.0,250.0,223.49374472364968,197.53604472364964,0.0,544.1023751272404
197,0.0,250.0,242.69915933499283,220.0,39.89825933499276,518.1355371326244
198,0.0,250.0,232.71124342459734,220.0,145.12284300130636,502.9083936653155
199,0.12140784146879469,250.0,250.0,220.0,202.9968078414688,469.0911893642402
200,13.401556950090026,250.0,250.0,220.0,254.57165737338096,435.27398506316496
201,0.0,250.0,242.29080329438636,220.0,330.18210371767736,409.74623958533016
202,0.0,250.0,240.20449441676146,220.0,359.13109441676147,386.4618369866619
203,0.0,250.0,229.08775610445593,220.0,374.00205610445596,375.13091644423616
204,0.0,250.0,220.45130577909867,220.0,362.1545062023896,373.08650162800103
205,0.0,250.0,207.98424658378258,220.0,332.43791616049157,384.44752680672946
206,0.0,250.0,207.83105491809886,220.0,272.1689449180989,395.97327420662316
207,0.0,250.0,187.51777141382263,220.0,218.59245141382257,429.3412619336956
208,0.0,250.0,149.7505656412585,220.0,175.35569564125854,503.3191483409445
209,0.0,250.0,144.8317883925684,220.0,96.9664888158594,582.5860425424838
210,0.0,250.0,129.9511009540791,220.0,33.459400530788116,677.8536759251945
211,0.0,201.34135539628647,139.32545539628643,220.0,0.0,717.3022323672883
212,0.0,125.76926017261678,152.75916017261676,220.0,0.0,671.2681754536161
