Region,metric,baseline,lp,change_pct
RegionA,cost_wan,62302.2579,49197.7285,-21.034
RegionA,carbon_t,581269.7001,467911.4698,-19.502
RegionA,peak_net_MW,497.0016,487.4689,-1.918
RegionA,vol_std_MW,96.7995,96.408,-0.404
RegionA,max_ramp_MW,385.411,207.7516,-46.096
RegionA,nu_pct,8.6422,19.8332,11.191
RegionA,curtail_MWh,1758755.4979,1543313.9463,-215441.552
RegionB,cost_wan,57211.5792,45911.5096,-19.751
RegionB,carbon_t,519698.5515,424293.67,-18.358
RegionB,peak_net_MW,467.856,451.656,-3.463
RegionB,vol_std_MW,88.8141,87.8332,-1.104
RegionB,max_ramp_MW,349.9416,198.9551,-43.146
RegionB,nu_pct,10.1258,20.1944,10.069
RegionB,curtail_MWh,1730193.7742,1536359.6015,-193834.173
RegionC,cost_wan,54636.22,44275.9784,-18.962
RegionC,carbon_t,483818.0968,398412.0563,-17.653
RegionC,peak_net_MW,455.2661,439.9661,-3.361
RegionC,vol_std_MW,85.0435,83.8154,-1.444
RegionC,max_ramp_MW,372.2964,193.611,-47.995
RegionC,nu_pct,11.9428,21.449,9.506
RegionC,curtail_MWh,1695213.031,1512207.4147,-183005.616
RegionD,cost_wan,8592.6414,-9618.9502,-211.944
RegionD,carbon_t,262960.6536,60577.9963,-76.963
RegionD,peak_net_MW,282.5815,228.8888,-19.001
RegionD,vol_std_MW,135.1128,85.661,-36.6
RegionD,max_ramp_MW,209.8956,379.5538,80.83
RegionD,nu_pct,47.0552,75.1872,28.132
RegionD,curtail_MWh,1019254.8228,477678.0709,-541576.752
RegionE,cost_wan,-2589.2946,-14995.0496,-479.117
RegionE,carbon_t,84555.5905,1568.0766,-98.146
RegionE,peak_net_MW,166.0604,14.5845,-91.217
RegionE,vol_std_MW,116.2215,23.7298,-79.582
RegionE,max_ramp_MW,257.2579,234.5845,-8.813
RegionE,nu_pct,60.9995,84.8794,23.88
RegionE,curtail_MWh,750809.6857,291091.6475,-459718.038
RegionF,cost_wan,12.6099,-14776.482,-117281.636
RegionF,carbon_t,113064.8828,1260.0626,-98.886
RegionF,peak_net_MW,152.4972,85.1419,-44.168
RegionF,vol_std_MW,109.8218,62.1795,-43.381
RegionF,max_ramp_MW,240.9611,276.9747,14.946
RegionF,nu_pct,58.408,83.4797,25.072
RegionF,curtail_MWh,800698.9363,318036.0852,-482662.851
