Hour,G,Pc,Pd,S,Q,SOC
0,439.25112289644613,6.989247311827957,0.0,0.0,473.30287513466317,164.0
1,471.17268235642825,100.0,0.0,0.0,423.61918235642827,257.0
2,479.00159995603747,100.0,0.0,0.0,484.6815999560374,350.0
3,479.00160000000005,0.0,0.0,0.0,657.0316,350.0
4,479.0015996040396,0.0,0.0,0.0,734.6816000539945,350.0
5,479.00160000000005,0.0,0.0,0.0,812.3316,350.0
6,479.0016003959605,0.0,0.0,0.0,884.6815999460055,350.0
7,479.0016003959604,0.0,0.0,0.0,946.8115999460053,350.0
8,479.00160000000005,0.0,0.0,0.0,994.4916,350.0
9,474.77519920531904,0.0,0.0,0.0,1020.235199655274,350.0
10,459.93001856590865,0.0,0.0,0.0,1028.2190181159535,350.0
11,434.6332886761188,0.0,0.0,0.0,1018.3117886761188,350.0
12,398.38204064324293,0.0,0.0,0.0,991.7130410931978,350.0
13,377.5702197158653,0.0,0.0,0.0,946.0335197158652,350.0
14,359.6242044760112,0.0,0.0,0.0,886.5369049259662,350.0
15,322.5940153365231,0.0,0.0,0.0,821.1775153365231,350.0
16,285.2800010011403,0.0,0.0,0.0,751.2360014510953,350.0
17,272.1602702016274,0.0,0.0,0.0,677.5977706515824,350.0
18,259.01862630995447,0.0,0.0,0.0,609.5751267599095,350.0
19,247.31157203953182,0.0,89.80000000000003,0.0,538.4900724894868,252.39130434782606
20,191.17880096004393,0.0,100.0,0.0,500.483801409999,143.69565217391303
21,230.98867848501482,0.0,100.0,0.0,465.0851784850148,35.0
22,341.44307588832305,0.0,0.0,0.0,453.439576338278,35.0
23,359.8570825452611,38.70967741935484,0.0,0.0,422.43890557586127,71.0
24,420.77772279128425,100.0,0.0,0.0,382.81122234132926,164.0
25,436.1979617855524,100.0,0.0,0.0,428.3884622355074,257.0
26,479.0016003519979,100.0,0.0,0.0,484.6815999020429,350.0
27,479.00160000000005,0.0,0.0,0.0,657.0316,350.0
28,479.00160000000005,0.0,0.0,0.0,734.6816,350.0
29,479.0015996040397,0.0,0.0,0.0,812.3316000539946,350.0
30,479.0016003959605,0.0,0.0,0.0,884.6815999460055,350.0
31,479.0015996040396,0.0,0.0,0.0,946.8116000539947,350.0
32,479.0016003959605,0.0,0.0,0.0,994.4915999460054,350.0
33,474.7751995977858,0.0,0.0,0.0,1020.2351995977857,350.0
34,463.3048153107957,0.0,0.0,0.0,1027.6923157607507,350.0
35,443.502409760265,0.0,0.0,0.0,1016.85340931031,350.0
36,396.43359613159225,0.0,0.0,0.0,992.0460961315922,350.0
37,373.6847079515901,0.0,0.0,0.0,946.7137075016351,350.0
38,359.05733985869597,0.0,0.0,0.0,886.636939858696,350.0
39,341.37131044739147,0.0,0.0,0.0,817.8904099974364,350.0
40,320.4327137486393,0.0,0.0,0.0,745.2272141985943,350.0
41,282.45540708871516,0.0,0.0,0.0,675.9049066387602,350.0
42,250.84437711364978,0.0,0.0,0.0,610.8508766636947,350.0
43,169.536521402855,0.0,89.80000000000003,0.0,549.882521402855,252.39130434782606
44,204.78140141935097,0.0,100.0,0.0,498.628901419351,143.69565217391303
45,188.50579907542578,0.0,100.0,0.0,470.8782986254708,35.0
46,366.8900356113993,0.0,0.0,0.0,449.96953606135423,35.0
47,389.6164831844542,38.70967741935484,0.0,0.0,418.3808057650993,71.0
48,415.39608276064865,100.0,0.0,0.0,383.5450823106937,164.0
49,466.75332273028664,100.0,0.0,0.0,424.2218222803316,257.0
50,479.00159995603747,100.0,0.0,0.0,484.6815999560374,350.0
51,479.00160000000005,0.0,0.0,0.0,657.0316,350.0
52,479.0016003959605,0.0,0.0,0.0,734.6815999460055,350.0
53,479.00160000000005,0.0,0.0,0.0,812.3316,350.0
54,479.0015996040396,0.0,0.0,0.0,884.6816000539945,350.0
55,479.0016003959604,0.0,0.0,0.0,946.8115999460053,350.0
56,479.00160000000005,0.0,0.0,0.0,994.4916,350.0
57,474.7751995977858,0.0,0.0,0.0,1020.2351995977857,350.0
58,470.83680325202965,0.0,0.0,0.0,1026.5168032520296,350.0
59,418.8775569995066,0.0,0.0,0.0,1020.9025565495515,350.0
60,400.7570681495133,0.0,0.0,0.0,991.3070685994683,350.0
61,395.9270246782992,0.0,0.0,0.0,942.8200242283442,350.0
62,377.48274735144486,0.0,0.0,0.0,883.3853973514448,350.0
63,352.9324898922842,0.0,0.0,0.0,815.8665394423291,350.0
64,280.7282496659246,0.0,0.0,0.0,752.0140496659245,350.0
65,184.0437332685048,0.0,100.0,0.0,675.6437328185498,241.30434782608697
66,165.67480128937495,0.0,100.0,0.0,608.5363017393299,132.60869565217394
67,139.45094148166476,0.0,89.80000000000003,0.0,554.2894414816648,35.0
68,300.49272179533915,0.0,0.0,0.0,499.2137213453842,35.0
69,298.6037986332453,0.0,0.0,0.0,469.5012986332453,35.0
70,316.7564361569726,0.0,0.0,0.0,456.8059366069276,35.0
71,413.6734837770397,38.70967741935484,0.0,0.0,415.1003059077299,71.0
72,403.92000269531985,100.0,0.0,0.0,385.11000224536485,164.0
73,467.71560233913874,100.0,0.0,0.0,424.09060233913874,257.0
74,479.0016003519979,100.0,0.0,0.0,484.6815999020429,350.0
75,479.00160000000005,0.0,0.0,0.0,657.0316,350.0
76,479.00160000000005,0.0,0.0,0.0,734.6816,350.0
77,479.00160000000005,0.0,0.0,0.0,812.3316,350.0
78,479.0016003959605,0.0,0.0,0.0,884.6815999460055,350.0
79,479.0015996040397,0.0,0.0,0.0,946.8116000539947,350.0
80,479.0016003959605,0.0,0.0,0.0,994.4915999460054,350.0
81,474.77519920531904,0.0,0.0,0.0,1020.235199655274,350.0
82,470.83680325202965,0.0,0.0,0.0,1026.5168032520296,350.0
83,452.8932430537999,0.0,0.0,0.0,1015.3092430537998,350.0
84,426.3750832899641,0.0,0.0,0.0,986.928083739919,350.0
85,391.3085270935178,0.0,0.0,0.0,943.6285266435627,350.0
86,348.70229986277116,0.0,0.0,0.0,888.4642998627711,350.0
87,321.5485345360807,0.0,0.0,0.0,821.3605345360806,350.0
88,284.6920087577417,0.0,0.0,0.0,751.3365092076966,350.0
89,160.5202747371677,0.0,100.0,0.0,679.5117742872127,241.30434782608697
90,166.09519128807517,0.0,100.0,0.0,608.4706917380302,132.60869565217394
91,173.5165319766768,0.0,89.80000000000003,0.0,549.2995315267218,35.0
92,298.58004139047154,0.0,0.0,0.0,499.4745413904716,35.0
93,324.2527185158463,0.0,0.0,0.0,466.00371851584634,35.0
94,345.6485962385173,0.0,0.0,0.0,452.8660962385173,35.0
95,398.43144365246184,38.70967741935484,0.0,0.0,417.178765783152,71.0
96,409.75308272852527,100.0,0.0,0.0,384.3145822785703,164.0
97,478.47888199700765,100.0,0.0,0.0,422.62288244696265,257.0
98,453.7328395623962,100.0,0.0,0.0,488.12734001235117,350.0
99,479.00160000000005,0.0,0.0,0.0,657.0316,350.0
100,479.0015996040396,0.0,0.0,0.0,734.6816000539945,350.0
101,479.0015996040396,0.0,0.0,0.0,812.3316000539946,350.0
102,479.0016003959605,0.0,0.0,0.0,884.6815999460055,350.0
103,479.0015996040397,0.0,0.0,0.0,946.8116000539947,350.0
104,479.00160000000005,0.0,0.0,0.0,994.4916,350.0
105,474.77519920531904,0.0,0.0,0.0,1020.235199655274,350.0
106,470.8368028628187,0.0,0.0,0.0,1026.5168033127736,350.0
107,455.6873063005463,0.0,0.0,0.0,1014.8498058505912,350.0
108,403.84691014388295,0.0,0.0,0.0,990.7789101438829,350.0
109,386.54067510922835,0.0,0.0,0.0,944.4631746592734,350.0
110,336.8256748674452,0.0,0.0,0.0,890.5601748674451,350.0
111,321.96442871333494,0.0,0.0,0.0,821.2877291632899,350.0
112,272.424877232632,0.0,0.0,0.0,753.433376782677,350.0
113,166.20114862197863,0.0,100.0,0.0,678.5776490719337,241.30434782608697
114,173.8957612639573,0.0,100.0,0.0,607.2532617139123,132.60869565217394
115,209.45437499691963,0.0,89.80000000000003,0.0,544.0353749969196,35.0
116,257.91480159705606,0.0,0.0,0.0,505.01980114710113,35.0
117,294.2675986530927,0.0,0.0,0.0,470.09259865309275,35.0
118,367.4721560010248,0.0,0.0,0.0,449.8901560010248,35.0
119,413.48340298356527,38.70967741935484,0.0,0.0,415.12622601416547,71.0
120,409.87188233324116,100.0,0.0,0.0,384.2983823332412,164.0
121,469.687682744962,100.0,0.0,0.0,423.8216822950069,257.0
122,479.001599560077,100.0,0.0,0.0,484.68160001003207,350.0
123,479.0015996040397,0.0,0.0,0.0,657.0316000539947,350.0
124,479.0016003959605,0.0,0.0,0.0,734.6815999460055,350.0
125,479.00160000000005,0.0,0.0,0.0,812.3316,350.0
126,479.0016003959605,0.0,0.0,0.0,884.6815999460055,350.0
127,479.0015996040397,0.0,0.0,0.0,946.8116000539947,350.0
128,479.00160000000005,0.0,0.0,0.0,994.4916,350.0
129,474.7751995977858,0.0,0.0,0.0,1020.2351995977857,350.0
130,469.295373241383,0.0,0.0,0.0,1026.757373241383,350.0
131,465.10132722415074,0.0,0.0,0.0,1013.3018267741957,350.0
132,417.38226069340635,0.0,0.0,0.0,988.4652611433612,350.0
133,399.2254591474307,0.0,0.0,0.0,942.2426086974756,350.0
134,356.8816794770904,0.0,0.0,0.0,887.0208799270454,350.0
135,326.5921177382151,0.0,0.0,0.0,820.477617738215,350.0
136,261.35678717658783,0.0,0.0,0.0,755.3252876265428,350.0
137,263.99836126225443,0.0,0.0,0.0,678.9398608122995,350.0
138,266.7140987861615,0.0,0.0,0.0,608.3740992361165,350.0
139,176.26014767770715,0.0,89.80000000000003,0.0,548.8976481276621,252.39130434782606
140,170.46008086355795,0.0,100.0,0.0,503.309081313513,143.69565217391303
141,224.32399891148037,0.0,100.0,0.0,465.99399846152545,35.0
142,357.3503965071341,0.0,0.0,0.0,451.27039605717914,35.0
143,389.5452027879111,38.70967741935484,0.0,0.0,418.39052581851126,71.0
144,413.41212235339435,100.0,0.0,0.0,383.81562235339436,164.0
145,428.535362539151,100.0,0.0,0.0,429.43336208919595,257.0
146,479.00159995603747,100.0,0.0,0.0,484.6815999560374,350.0
147,479.0016003959604,0.0,0.0,0.0,657.0315999460054,350.0
