Hour,G,Pc,Pd,S,Q,SOC
0,389.93198337316767,9.247311827957013,0.0,0.0,462.13117109525564,152.60000000000002
1,448.2364514471877,90.0,0.0,0.0,418.7694518971427,236.3
2,451.65600038383025,90.0,0.0,0.0,480.29600083378523,320.0
3,451.65600000000006,0.0,0.0,0.0,642.6460000000001,320.0
4,451.6560003824618,0.0,0.0,0.0,720.2959999325068,320.0
5,451.6559996175383,0.0,0.0,0.0,797.9460000674933,320.0
6,451.65600000000006,0.0,0.0,0.0,870.296,320.0
7,451.6559996175383,0.0,0.0,0.0,932.4260000674933,320.0
8,451.6559996175382,0.0,0.0,0.0,980.1060000674931,320.0
9,447.53020000000004,0.0,0.0,0.0,1005.9502,320.0
10,443.68560145690867,0.0,0.0,0.0,1012.3256014569087,320.0
11,440.384162886259,0.0,0.0,0.0,998.804163336214,320.0
12,397.4920429762218,0.0,0.0,0.0,974.9200434261767,320.0
13,363.90664603031485,0.0,0.0,0.0,932.8005964802699,320.0
14,346.395798855712,0.0,0.0,0.0,873.961899305667,320.0
15,309.9362965623485,0.0,0.0,0.0,810.0857970123035,320.0
16,281.53387849899525,0.0,0.0,0.0,739.8745284989952,320.0
17,285.71264553642715,0.0,0.0,0.0,663.3266450864721,320.0
18,243.06891988273657,0.0,0.0,0.0,601.9684194327815,320.0
19,198.85101682887228,0.0,84.95999999999998,0.0,534.7075172788273,227.6521739130435
20,212.6645979772602,0.0,90.0,0.0,486.77859797726023,129.82608695652175
21,229.02795055291858,0.0,90.0,0.0,453.9209505529186,32.0
22,360.0855021390606,0.0,0.0,0.0,436.4555025890156,32.0
23,378.0324137026896,39.677419354838726,0.0,0.0,403.83099389789584,68.90000000000002
24,391.1712830161023,90.0,0.0,0.0,381.1597830161023,152.60000000000002
25,451.65600146114593,90.0,0.0,0.0,418.1660019111009,236.3
26,451.65600114875383,90.0,0.0,0.0,480.2960006987988,320.0
27,451.65600000000006,0.0,0.0,0.0,642.6460000000001,320.0
28,451.65600000000006,0.0,0.0,0.0,720.296,320.0
29,451.6559996175383,0.0,0.0,0.0,797.9460000674933,320.0
30,451.6559996175382,0.0,0.0,0.0,870.2960000674932,320.0
31,451.65600000000006,0.0,0.0,0.0,932.426,320.0
32,451.6559996175382,0.0,0.0,0.0,980.1060000674931,320.0
33,447.530199621032,0.0,0.0,0.0,1005.950200070987,320.0
34,443.6856010811962,0.0,0.0,0.0,1012.3256015311512,320.0
35,429.3074274454922,0.0,0.0,0.0,1001.0924274454921,320.0
36,393.353818782875,0.0,0.0,0.0,975.8038187828748,320.0
37,370.59793682290444,0.0,0.0,0.0,931.3419363729494,320.0
38,349.90720323708956,0.0,0.0,0.0,873.1911032370895,320.0
39,320.707533685993,0.0,0.0,0.0,807.737733685993,320.0
40,266.68521656781667,0.0,0.0,0.0,743.0456665678166,320.0
41,237.72240910020656,0.0,0.0,0.0,673.2406086502516,320.0
42,268.0825972135625,0.0,0.0,0.0,597.0255972135625,320.0
43,167.4238451352852,0.0,84.95999999999998,0.0,540.5943446853302,227.6521739130435
44,187.2015727649706,0.0,90.0,0.0,491.2720732149256,129.82608695652175
45,210.5761509034009,0.0,90.0,0.0,457.1771504534459,32.0
46,330.76687731621683,0.0,0.0,0.0,441.6293773162168,32.0
47,369.15076300727685,39.677419354838726,0.0,0.0,405.39834365243814,68.90000000000002
48,400.0414578154132,90.0,0.0,0.0,379.5944582653682,152.60000000000002
49,431.1731271424607,90.0,0.0,0.0,421.7806266925057,236.3
50,451.65600114875383,90.0,0.0,0.0,480.2960006987987,320.0
51,451.6560003824618,0.0,0.0,0.0,642.6459999325068,320.0
52,451.65600000000006,0.0,0.0,0.0,720.296,320.0
53,451.6560003824618,0.0,0.0,0.0,797.9459999325068,320.0
54,451.65600000000006,0.0,0.0,0.0,870.296,320.0
55,451.6560003824618,0.0,0.0,0.0,932.4259999325068,320.0
56,451.6560003824618,0.0,0.0,0.0,980.1059999325067,320.0
57,447.530199621032,0.0,0.0,0.0,1005.950200070987,320.0
58,443.6856010811962,0.0,0.0,0.0,1012.3256015311512,320.0
59,424.4739427267939,0.0,0.0,0.0,1002.0909427267939,320.0
60,393.60522667863313,0.0,0.0,0.0,975.750127128588,320.0
61,372.4001623317962,0.0,0.0,0.0,930.9490623317962,320.0
62,356.97429089311197,0.0,0.0,0.0,871.6397913430669,320.0
63,323.4696169934198,0.0,0.0,0.0,807.1356165434647,320.0
64,284.33051740332417,0.0,0.0,0.0,739.2772674033241,320.0
65,173.77175752690135,0.0,90.0,0.0,667.8592579768564,222.17391304347825
66,184.4402876417705,0.0,90.0,0.0,595.7692871918155,124.34782608695652
67,148.82223289735919,0.0,84.96,0.0,544.0787333473141,32.0
68,305.55629795793465,0.0,0.0,0.0,486.2682979579347,32.0
69,303.3416259081938,0.0,0.0,0.0,456.68912545823883,32.0
70,330.03247731107416,0.0,0.0,0.0,441.7589773110741,32.0
71,396.13996434072135,39.677419354838726,0.0,0.0,400.63554453592764,68.90000000000002
72,392.05485803420896,90.0,0.0,0.0,381.00385803420903,152.60000000000002
73,451.65600146114593,90.0,0.0,0.0,418.1660019111009,236.3
74,451.65600038383025,90.0,0.0,0.0,480.29600083378523,320.0
75,451.65600000000006,0.0,0.0,0.0,642.6460000000001,320.0
76,451.6560003824618,0.0,0.0,0.0,720.2959999325068,320.0
77,451.6559996175383,0.0,0.0,0.0,797.9460000674933,320.0
78,451.6560003824618,0.0,0.0,0.0,870.2959999325068,320.0
79,451.6560003824618,0.0,0.0,0.0,932.4259999325068,320.0
80,451.6560003824618,0.0,0.0,0.0,980.1059999325067,320.0
81,447.53020000000004,0.0,0.0,0.0,1005.9502,320.0
82,443.68560145690867,0.0,0.0,0.0,1012.3256014569087,320.0
83,423.6347960742421,0.0,0.0,0.0,1002.2642960742421,320.0
84,385.17748799086655,0.0,0.0,0.0,977.5499879908665,320.0
85,377.0121315074839,0.0,0.0,0.0,929.9436815074839,320.0
86,361.5373452782077,0.0,0.0,0.0,870.6381452782076,320.0
87,327.3400799225968,0.0,0.0,0.0,806.2918794726418,320.0
88,271.35406876097045,0.0,0.0,0.0,742.0485683110154,320.0
89,167.59563831753985,0.0,90.0,0.0,669.1351387674948,222.17391304347825
90,199.1396270117184,0.0,90.0,0.0,592.8646274616733,124.34782608695652
91,184.08115576987774,0.0,84.96,0.0,537.4741557698777,32.0
92,300.185997993825,0.0,0.0,0.0,487.215997993825,32.0
93,322.01145055808945,0.0,0.0,0.0,453.39445055808943,32.0
94,302.9514771214376,0.0,0.0,0.0,446.5379771214376,32.0
95,363.8034128188593,39.677419354838726,0.0,0.0,406.3419934640206,68.90000000000002
96,385.6977079039347,90.0,0.0,0.0,382.1257079039347,152.60000000000002
97,451.1396268414999,90.0,0.0,0.0,418.2571268414998,236.3
98,451.65600038383025,90.0,0.0,0.0,480.29600083378523,320.0
99,451.65600000000006,0.0,0.0,0.0,642.6460000000001,320.0
100,451.6560003824618,0.0,0.0,0.0,720.2959999325067,320.0
101,451.65600000000006,0.0,0.0,0.0,797.946,320.0
102,451.65600000000006,0.0,0.0,0.0,870.296,320.0
