Hour,G,Pc,Pd,S,Q,SOC
0,383.85003851860284,7.419354838709652,0.0,0.0,448.5108841398473,141.89999999999998
1,439.9660846668322,85.0,0.0,0.0,406.29208466683235,220.95
2,439.96609863129413,85.0,0.0,0.0,468.42209863129415,300.0
3,439.9661,0.0,0.0,0.0,625.7721,300.0
4,439.9661,0.0,0.0,0.0,703.4221,300.0
5,439.96609962283765,0.0,0.0,0.0,781.0721000827917,300.0
6,439.9661,0.0,0.0,0.0,853.4221,300.0
7,439.96609962283765,0.0,0.0,0.0,915.5521000827918,300.0
8,439.9661003771623,0.0,0.0,0.0,963.2320999172083,300.0
9,435.8000003735908,0.0,0.0,0.0,989.0359999136368,300.0
10,431.91790103997687,0.0,0.0,0.0,995.3739005800229,300.0
11,421.6396243662573,0.0,0.0,0.0,983.5696243662574,300.0
12,376.69574459564717,0.0,0.0,0.0,962.0893450556011,300.0
13,367.6763070679326,0.0,0.0,0.0,914.9947066079786,300.0
14,339.623463263693,0.0,0.0,0.0,859.720343263693,300.0
15,305.780890380252,0.0,0.0,0.0,796.866669920298,300.0
16,271.65858345270914,0.0,0.0,0.0,729.5276029927552,300.0
17,294.5965591037682,0.0,0.0,0.0,648.1415591037683,300.0
18,235.86628576395918,0.0,0.0,0.0,592.8646857639592,300.0
19,175.65977092136126,0.0,78.40000000000002,0.0,529.1389709213613,214.78260869565216
20,201.74743768523354,0.0,85.0,0.0,477.2454381451876,122.39130434782608
21,213.96871925981407,0.0,85.0,0.0,444.59271971976807,30.0
22,328.42426877584717,0.0,0.0,0.0,427.90686831589323,30.0
23,373.64300235103724,35.32258064516127,0.0,0.0,392.878221245922,62.84999999999998
24,386.5771949163387,85.0,0.0,0.0,370.3315949163389,141.89999999999998
25,439.96608466683233,85.0,0.0,0.0,406.29208466683235,220.95
26,439.96609863129413,85.0,0.0,0.0,468.42209863129415,300.0
27,439.9661,0.0,0.0,0.0,625.7721,300.0
28,439.96609962283765,0.0,0.0,0.0,703.4221000827918,300.0
29,439.9661,0.0,0.0,0.0,781.0721,300.0
30,439.9661003771623,0.0,0.0,0.0,853.4220999172084,300.0
31,439.96609962283765,0.0,0.0,0.0,915.5521000827918,300.0
32,439.9661,0.0,0.0,0.0,963.2321,300.0
33,435.799999626409,0.0,0.0,0.0,989.0360000863631,300.0
34,431.91790103997687,0.0,0.0,0.0,995.3739005800229,300.0
35,419.0712055839282,0.0,0.0,0.0,984.2166051239742,300.0
36,366.7573242230552,0.0,0.0,0.0,964.6675237631013,300.0
37,377.9156144481102,0.0,0.0,0.0,912.2896149080642,300.0
38,355.98409458968473,0.0,0.0,0.0,855.3713145896847,300.0
39,317.9130510324237,0.0,0.0,0.0,793.6615110324237,300.0
40,285.7663200571425,0.0,0.0,0.0,725.8678400571425,300.0
41,272.78153233234235,0.0,0.0,0.0,653.6367323323424,300.0
42,288.1008028985067,0.0,0.0,0.0,580.2116033584607,300.0
43,189.7268763879768,0.0,78.40000000000002,0.0,525.8870763879769,214.78260869565216
44,189.0395697711029,0.0,85.0,0.0,480.034970231057,122.39130434782608
45,241.3987032265071,0.0,85.0,0.0,438.57150368646114,30.0
46,321.510192767454,0.0,0.0,0.0,429.4245923075,30.0
47,350.7733664750507,35.32258064516127,0.0,0.0,397.8983853699354,62.84999999999998
48,387.8219553028916,85.0,0.0,0.0,370.05835484293766,141.89999999999998
49,439.96608466683233,85.0,0.0,0.0,406.29208466683235,220.95
50,439.9660982541317,85.0,0.0,0.0,468.4220987140858,300.0
51,439.96609999999987,0.0,0.0,0.0,625.7721,300.0
52,439.96609962283765,0.0,0.0,0.0,703.4221000827918,300.0
53,439.9661,0.0,0.0,0.0,781.0721,300.0
54,439.9661003771623,0.0,0.0,0.0,853.4220999172084,300.0
55,439.96609962283765,0.0,0.0,0.0,915.5521000827918,300.0
56,439.9661,0.0,0.0,0.0,963.2321,300.0
57,435.7999996264091,0.0,0.0,0.0,989.0360000863631,300.0
58,431.91790103997687,0.0,0.0,0.0,995.3739005800229,300.0
59,413.12966907185853,0.0,0.0,0.0,985.7132690718586,300.0
60,371.6224381229938,0.0,0.0,0.0,963.4054385829477,300.0
61,369.0375452126791,0.0,0.0,0.0,914.6350852126791,300.0
62,345.6413672364706,0.0,0.0,0.0,858.1206472364706,300.0
63,304.61177534982716,0.0,0.0,0.0,797.1755348898731,300.0
64,268.6880145265182,0.0,0.0,0.0,730.2982140665642,300.0
65,199.3449291772796,0.0,85.0,0.0,650.7239296372336,207.60869565217394
66,170.66252357628838,0.0,85.0,0.0,588.0693235762884,115.21739130434786
67,194.99503578093766,0.0,78.40000000000003,0.0,524.6692353209837,30.0
68,301.62797758468304,0.0,0.0,0.0,473.97897804463713,30.0
69,295.6870796409611,0.0,0.0,0.0,445.3130796409611,30.0
70,336.52652403135824,0.0,0.0,0.0,426.12832449131224,30.0
71,358.08350205824826,35.32258064516127,0.0,0.0,396.29372141308704,62.84999999999998
72,398.22135900418243,85.0,0.0,0.0,367.77555900418247,141.89999999999998
73,421.07968046649944,85.0,0.0,0.0,410.43788046649945,220.95
74,434.4778380217198,85.0,0.0,0.0,469.62683848167376,300.0
75,439.9661003771623,0.0,0.0,0.0,625.7720999172084,300.0
76,439.9661,0.0,0.0,0.0,703.4221,300.0
77,439.9661003771623,0.0,0.0,0.0,781.0720999172083,300.0
78,439.9661,0.0,0.0,0.0,853.4221,300.0
79,439.9661003771623,0.0,0.0,0.0,915.5520999172084,300.0
80,439.96609962283776,0.0,0.0,0.0,963.2321000827917,300.0
81,435.79999999999984,0.0,0.0,0.0,989.036,300.0
82,431.91790029945093,0.0,0.0,0.0,995.3739007594049,300.0
83,428.58427663547275,0.0,0.0,0.0,981.8202770954268,300.0
84,385.57129228686927,0.0,0.0,0.0,959.7868918269153,300.0
85,376.88513397329086,0.0,0.0,0.0,912.5618544332449,300.0
86,346.0185764347643,0.0,0.0,0.0,858.0203764347643,300.0
87,308.2883193676973,0.0,0.0,0.0,796.2042398276512,300.0
88,308.49648671332346,0.0,0.0,0.0,719.9712867133235,300.0
89,179.4259027114046,0.0,85.0,0.0,655.7415031713587,207.60869565217394
90,190.79203101519528,0.0,85.0,0.0,583.1932314751493,115.21739130434786
91,141.85388240557432,0.0,78.40000000000003,0.0,536.9538824055744,30.0
92,283.90712170442606,0.0,0.0,0.0,477.86892216438014,30.0
93,268.75500005082574,0.0,0.0,0.0,451.2249995908718,30.0
94,333.4259404047566,0.0,0.0,0.0,426.8089404047566,30.0
95,328.49216184154864,35.32258064516127,0.0,0.0,402.7893816563414,62.84999999999998
96,381.56420725568313,85.0,0.0,0.0,371.4320067957292,141.89999999999998
97,425.7871368935949,85.0,0.0,0.0,409.4045364336409,220.95
98,439.9660982541317,85.0,0.0,0.0,468.4220987140858,300.0
99,439.96609962283765,0.0,0.0,0.0,625.7721000827918,300.0
100,439.9661003771623,0.0,0.0,0.0,703.4220999172084,300.0
101,439.9661,0.0,0.0,0.0,781.0721,300.0
102,439.9661,0.0,0.0,0.0,853.4221,300.0
103,439.9661,0.0,0.0,0.0,915.5521,300.0
104,439.9661003771623,0.0,0.0,0.0,963.2320999172083,300.0
105,435.799999626409,0.0,0.0,0.0,989.0360000863631,300.0
106,431.91790103997687,0.0,0.0,0.0,995.3739005800229,300.0
107,421.60655459179725,0.0,0.0,0.0,983.5779545917973,300.0
