Hour,G,Pc,Pd,S,Q,SOC
0,281.9562199344809,0.0,0.0,180.0,198.80541993448094,405.0
1,297.35265008857755,0.0,0.0,180.0,239.86585008857753,405.0
2,336.7731221169113,6.595744680851112,0.0,180.0,273.96937700943613,411.20000000000005
3,334.77119320902386,260.0,0.0,180.0,93.20439363564788,655.6
4,374.09100876493426,260.0,0.0,180.0,145.87980833831023,900.0
5,372.0138318531324,0.0,0.0,180.0,480.3006322797564,900.0
6,367.0880000000001,0.0,0.0,180.0,549.7472,900.0
7,375.23711759365165,0.0,0.0,180.0,599.9559180202756,900.0
8,353.99129414485924,0.0,0.0,180.0,653.4876945714832,900.0
9,330.2292936901358,0.0,0.0,180.0,691.6700941167599,900.0
10,322.3928937049948,0.0,0.0,180.0,700.5560941316187,900.0
11,287.7575387224622,0.0,0.0,180.0,708.8079387224622,900.0
12,264.0701347506815,0.0,0.0,180.0,691.7201347506814,900.0
13,263.51821465802664,0.0,0.0,180.0,642.1058146580266,900.0
14,226.27609896725505,0.0,0.0,180.0,606.144899393879,900.0
15,225.81516472723212,0.0,0.0,180.0,534.8136451538561,900.0
16,195.52030000119038,0.0,0.0,180.0,480.73630000119033,900.0
17,121.61447635560546,0.0,60.12752007265448,180.0,415.41999685488395,835.346752610049
18,0.0,0.0,156.44025456324488,180.0,363.5154545632448,667.1314251226888
19,0.0,0.0,176.51183082462143,180.0,291.28743039799747,477.3337575693324
20,0.0,0.0,170.26124585457683,180.0,251.33444542795291,294.2571491235509
21,0.0,0.0,189.95914868490235,180.0,212.68474868490233,90.0
22,218.64000026664002,0.0,0.0,180.0,188.81599984001605,90.0
23,260.4678580370481,81.70212765957454,0.0,180.0,96.33932995084952,166.80000000000007
24,292.00980382462643,0.0,0.0,180.0,193.0510038246265,166.80000000000007
25,306.26766792872905,0.0,0.0,180.0,234.8288679287291,166.80000000000007
26,341.9340815990894,260.0,0.0,180.0,17.662082025713403,411.20000000000005
27,342.2794377086973,260.0,0.0,180.0,88.96223813532129,655.6
28,374.92134497936377,260.0,0.0,180.0,145.40454497936378,900.0
29,368.66082732852976,0.0,0.0,180.0,482.2596277551537,900.0
30,371.55200000000013,0.0,0.0,180.0,547.0688,900.0
31,359.0111610709206,0.0,0.0,180.0,609.9955606442966,900.0
32,336.3295984846743,0.0,0.0,180.0,664.7795984846742,900.0
33,348.6837144214618,0.0,0.0,180.0,679.4813148480857,900.0
34,309.35430178754586,0.0,0.0,180.0,709.4311022141699,900.0
35,299.1903653486728,0.0,0.0,180.0,700.8231653486728,900.0
36,254.79086321303168,0.0,0.0,180.0,698.3295036396556,900.0
37,256.2179727726301,0.0,0.0,180.0,647.370052346006,900.0
38,225.31840344853288,0.0,0.0,180.0,606.8384030219089,900.0
39,203.57530837752392,0.0,0.0,180.0,550.8509079508999,900.0
40,186.9683890962753,0.0,0.0,180.0,486.8275895228993,900.0
41,169.7281746423102,0.0,20.53003419752924,180.0,409.4722088398395,877.9246944112589
42,0.0,0.0,169.92819069321217,180.0,354.3345902665882,695.2062097949017
43,0.0,0.0,170.69953603332175,180.0,295.12633603332176,511.6583215870289
44,0.0,0.0,182.70719741848427,180.0,243.37719741848434,315.1989695241426
45,0.0,0.0,209.43504165745264,180.0,200.63424208407667,90.0
46,230.37600026664,0.0,0.0,180.0,181.77439984001603,90.0
47,256.7270358139615,81.70212765957454,0.0,180.0,98.52490815438695,166.80000000000007
48,282.4202312273168,0.0,0.0,180.0,198.53983165394084,166.80000000000007
49,309.2120777632172,0.0,0.0,180.0,233.16527733659325,166.80000000000007
50,348.0862736327733,260.0,0.0,180.0,14.201474059397356,411.20000000000005
51,354.12250800938,260.0,0.0,180.0,82.27090758275597,655.6
52,358.8763134752312,260.0,0.0,180.0,154.5883134752312,900.0
53,379.44699877937364,0.0,0.0,180.0,475.95779877937366,900.0
54,376.06399973336,0.0,0.0,180.0,544.361600159984,900.0
55,375.8380789658678,0.0,0.0,180.0,599.5840793924917,900.0
56,363.7747181007802,0.0,0.0,180.0,647.2327185274042,900.0
57,319.22139360478354,0.0,0.0,180.0,698.9405940314075,900.0
58,299.1488621060007,0.0,0.0,180.0,716.3776621060008,900.0
59,293.123506381604,0.0,0.0,180.0,705.06030595498,900.0
60,256.5543214548038,0.0,0.0,180.0,697.0734410281798,900.0
61,242.86543103526424,0.0,0.0,180.0,656.9986310352642,900.0
62,245.58221124153636,0.0,0.0,180.0,592.1646116681603,900.0
63,221.80137083444583,0.0,0.0,180.0,537.7080104078218,900.0
64,184.90516639442308,0.0,0.0,180.0,488.29716596779906,900.0
65,0.0,0.0,192.50407743067245,180.0,407.9036770040484,693.0063683541157
66,0.0,0.0,183.08863831850465,180.0,345.37663831850466,496.1368647858311
67,0.0,0.0,178.64711623386995,180.0,289.8771166604939,304.04319141607846
68,9.265076779326847,0.0,199.06016801695299,180.0,226.9984452229039,90.0
69,220.4104948080717,0.0,0.0,180.0,193.84329438144766,90.0
70,226.76,81.70212765957454,0.0,180.0,102.24187234042547,166.80000000000007
71,263.9824531772234,0.0,0.0,180.0,175.98805275059948,166.80000000000007
72,287.77671587088093,0.0,0.0,180.0,195.473915870881,166.80000000000007
73,318.80594504048577,0.0,0.0,180.0,227.74474546710974,166.80000000000007
74,332.1937938187996,260.0,0.0,180.0,23.14099381879953,411.20000000000005
75,340.8154123656233,260.0,0.0,180.0,89.78941193899925,655.6
76,369.3450653674349,260.0,0.0,180.0,148.59626579405892,900.0
77,365.50173149932584,0.0,0.0,180.0,484.1053319259497,900.0
78,365.64800026664,0.0,0.0,180.0,550.611199840016,900.0
79,366.43619697238125,0.0,0.0,180.0,605.4013965457573,900.0
80,369.40428633565705,0.0,0.0,180.0,643.6334863356569,900.0
81,325.8199667651909,0.0,0.0,180.0,694.5823671918149,900.0
82,321.9968622151847,0.0,0.0,180.0,700.8256617885606,900.0
83,308.0155732328842,0.0,0.0,180.0,694.6595728062603,900.0
84,262.87406361809406,0.0,0.0,180.0,692.57206319147,900.0
85,257.3521279091492,0.0,0.0,180.0,646.5522079091493,900.0
86,225.9568672101616,0.0,0.0,180.0,606.3760672101616,900.0
87,213.68230567277925,0.0,0.0,180.0,543.5627056727792,900.0
88,191.89470875730257,0.0,0.0,180.0,483.31870833067853,900.0
89,0.0,0.0,168.18388546127386,180.0,424.8890854612739,719.1571124072325
90,0.0,0.0,158.95353479400399,180.0,361.80473436738,548.2393330588411
91,0.0,0.0,174.0065311994298,180.0,292.94213119942975,361.13553607020697
92,0.0,0.0,201.39954889413474,180.0,231.42634932075873,144.57688134533092
93,147.57657119692038,0.0,50.75649965115775,180.0,207.50347127470218,90.0
94,230.88800000000003,81.70212765957454,0.0,180.0,99.76507234042545,166.80000000000007
95,254.69907402043498,0.0,0.0,180.0,181.411874020435,166.80000000000007
96,271.0234559672326,0.0,0.0,180.0,205.0630563938567,166.80000000000007
97,308.41054350394205,0.0,0.0,180.0,233.61814393056602,166.80000000000007
98,347.1196179005201,260.0,0.0,180.0,14.745217900520174,411.20000000000005
99,355.3575237162984,260.0,0.0,180.0,81.57312414292244,655.6
100,369.003162108595,260.0,0.0,180.0,148.791962535219,900.0
101,368.4426803154969,0.0,0.0,180.0,482.38708031549686,900.0
102,348.48,0.0,0.0,180.0,560.912,900.0
103,367.18739816054506,0.0,0.0,180.0,604.9365985871691,900.0
104,346.5971184384142,0.0,0.0,180.0,658.2151184384142,900.0
105,353.02366408178864,0.0,0.0,180.0,676.6148640817886,900.0
106,299.1336303599385,0.0,0.0,180.0,716.3880299333144,900.0
107,282.03735692262705,0.0,0.0,180.0,712.802957349251,900.0
108,260.728610327934,0.0,0.0,180.0,694.100210327934,900.0
109,246.83460277855227,0.0,0.0,180.0,654.1364432051762,900.0
110,226.56489306624178,0.0,0.0,180.0,605.9357726396178,900.0
111,204.55700350312623,0.0,0.0,180.0,550.1430030765023,900.0
112,190.33234046442362,0.0,0.0,180.0,484.43154003779966,900.0
113,0.0,0.0,182.05852820767262,180.0,415.19892863429664,704.23814171218
114,0.0,0.0,184.0101743100413,180.0,344.7493743100413,506.37773922826466
115,0.0,0.0,171.80957636879856,180.0,294.39317636879855,321.63625926181464
116,0.0,0.0,190.17164531301722,180.0,238.60484531301728,117.15061914029076
