Hour,G,Pc,Pd,S,Q,SOC
0,201.78561364905084,0.0,0.0,220.0,73.56311364905088,370.0
1,223.756864078339,94.38936449496401,0.0,220.0,0.0,458.7260026252662
2,226.52999465673378,0.0,0.0,220.0,153.1299946567338,458.7260026252662
3,245.24999809155497,144.33403976035513,0.0,220.0,58.26595833119987,594.4
4,250.50936685314906,240.0,0.0,220.0,33.82186726977403,820.0
5,256.64061495658086,0.0,0.0,220.0,343.97811495658084,820.0
6,266.3493674758606,0.0,0.0,220.0,404.4618670592356,820.0
7,236.0064422020888,0.0,0.0,220.0,443.11144178546374,820.0
8,197.69400014998496,0.0,0.0,220.0,488.35399973335984,820.0
9,182.66399280374162,0.0,0.0,220.0,486.43149280374155,820.0
10,156.78925634841016,0.0,0.0,220.0,503.70175676503516,820.0
11,124.97450160408914,0.0,0.0,220.0,542.1670016040891,820.0
12,119.79495322673392,0.0,0.0,220.0,515.9199536433589,820.0
13,118.92545195479943,0.0,0.0,220.0,480.3742023714244,820.0
14,117.56676189243842,0.0,0.0,220.0,447.8367618924384,820.0
15,119.827027212286,0.0,0.0,220.0,406.17452762891094,820.0
16,121.08150122487052,0.0,0.0,220.0,364.7440016414955,820.0
17,0.0,0.0,138.66298634887733,220.0,297.2879863488773,670.9000146786266
18,0.0,0.0,125.44312225831953,220.0,276.6806226749445,536.0149369815088
19,0.0,0.0,151.19328006173316,220.0,196.23827964510815,373.4415175602903
20,0.0,0.0,131.7431161540324,220.0,159.17061615403247,231.78225287853505
21,0.0,0.0,139.2974951770376,220.0,119.96749517703768,82.0
22,162.82124246717774,80.9962424671777,0.0,220.0,0.0,158.13646791914704
23,182.45248739649935,67.22248697987436,0.0,220.0,0.0,221.32560568022893
24,182.24436474829537,97.44686474829541,0.0,220.0,0.0,312.9256585436266
25,219.20623948412515,99.95123948412515,0.0,220.0,0.0,406.87982365870425
26,241.31811930791957,135.05561930791953,0.0,220.0,0.0,533.8321058081486
27,250.3124980521605,64.43392999133121,0.0,220.0,131.9785680608293,594.4
28,255.37499207351726,240.0,0.0,220.0,27.87499165689229,820.0
29,275.158114419395,0.0,0.0,220.0,321.34561400277005,820.0
30,271.6256169481346,0.0,0.0,220.0,398.01311736475964,820.0
31,238.75469003714613,0.0,0.0,220.0,439.0471904537711,820.0
32,200.20499985001504,0.0,0.0,220.0,483.8900002666401,820.0
33,179.41661500274313,0.0,0.0,220.0,493.24661500274306,820.0
34,137.8335172257474,0.0,0.0,220.0,549.1960176423725,820.0
35,137.2658873686529,0.0,0.0,220.0,509.9458869520279,820.0
36,117.57487816485047,0.0,0.0,220.0,521.9223785814754,820.0
37,111.53439805608173,0.0,0.0,220.0,499.74939805608165,820.0
38,117.72962819073155,0.0,0.0,220.0,447.44587860735646,820.0
39,110.86466839876539,0.0,0.0,220.0,424.9834179821403,820.0
40,110.10150140016498,0.0,0.0,220.0,384.26400098354,820.0
41,0.0,0.0,105.06376158110493,220.0,346.9762619977299,707.0282133536506
42,0.0,0.0,132.71624729770963,220.0,267.7912472977096,564.3225710980489
43,0.0,0.0,151.79625597837742,220.0,241.40375556175246,401.1007904761377
44,0.0,0.0,140.89499053952454,220.0,147.98499053952457,249.60080064869194
45,0.0,0.0,155.86874460328352,220.0,99.71374460328354,82.0
46,176.10186666527676,0.0,0.0,220.0,64.76436708190175,82.0
47,176.2031128346169,74.86061241799189,0.0,220.0,0.0,152.36897567291237
48,208.50748827092843,65.34748827092847,0.0,220.0,0.0,213.79561464758513
49,210.70123970465016,110.34624012127512,0.0,220.0,0.0,317.5210803615837
50,221.88374495380828,158.80874453718326,0.0,220.0,0.0,466.80130022653594
51,242.84249811028934,135.74329763134472,0.0,220.0,69.79920047894456,594.4
52,261.2699916987357,240.0,0.0,220.0,20.66999169873577,820.0
53,262.1193647421745,0.0,0.0,220.0,337.28186474217455,820.0
54,272.5818671079297,0.0,0.0,220.0,396.84436710792966,820.0
55,236.93429095787212,0.0,0.0,220.0,441.7392909578721,820.0
56,200.12849985001503,0.0,0.0,220.0,484.02600026664004,820.0
57,169.96089615333256,0.0,0.0,220.0,513.0908965699575,820.0
58,155.9105866396202,0.0,0.0,220.0,505.81058663962017,820.0
59,134.91185034750254,0.0,0.0,220.0,516.1168507641275,820.0
60,114.21337829612798,0.0,0.0,220.0,531.0108778795029,820.0
61,113.99440094946794,0.0,0.0,220.0,493.30065094946804,820.0
62,115.61273236424654,0.0,0.0,220.0,452.52648278087156,820.0
63,114.3714329260888,0.0,0.0,220.0,417.62393250946377,820.0
64,113.02470143335728,0.0,0.0,220.0,379.06720101673227,820.0
