Hour,G,Pc,Pd,S,Q,SOC
0,185.7741590351872,27.21225903518723,0.0,220.0,0.0,408.079523493076
1,176.82013964051015,0.0,0.0,220.0,81.86403964051016,408.079523493076
2,193.32472911710335,0.0,0.0,220.0,114.5754291171034,408.079523493076
3,209.14393339124013,0.0,0.0,220.0,164.06043339124017,408.079523493076
4,216.96895545739068,220.12816649672766,0.0,220.0,17.69788896066308,615.0
5,235.5697104184768,250.0,0.0,220.0,50.70121084176776,850.0
6,251.64910236364835,0.0,0.0,220.0,367.8708019403573,850.0
7,242.1160996246366,0.0,0.0,220.0,463.85099962463664,850.0
8,247.1125370660659,0.0,0.0,220.0,525.3031370660658,850.0
9,252.6405620737521,0.0,0.0,220.0,567.811562497043,850.0
10,241.43410819947212,0.0,0.0,220.0,607.7445086227631,850.0
11,220.2528880362545,0.0,0.0,220.0,633.4805884595455,850.0
12,233.74686166381537,0.0,0.0,220.0,598.4244612405244,850.0
13,222.0217079219051,0.0,0.0,220.0,568.2851879219052,850.0
14,199.34110492144453,0.0,0.0,220.0,530.6588949214446,850.0
15,175.99158428804083,0.0,0.0,220.0,480.21328428804077,850.0
16,151.22444815284518,0.0,0.0,220.0,423.8336477295542,850.0
17,0.0,0.0,160.0385445561829,220.0,330.65184413289194,677.9155434879754
18,0.0,0.0,148.68197525763293,220.0,268.4082748343419,518.0424518131013
19,0.0,0.0,123.87313253935497,220.0,219.81073253935494,384.8455351041174
20,0.0,0.0,140.7337838441435,220.0,141.07428384414357,233.51888580933945
21,0.0,0.0,138.1225638026857,220.0,102.94316422597672,85.0
22,151.0654880637324,60.14985057608763,0.0,220.0,2.463237910935817,141.54085954152237
23,155.64616989001303,54.37596989001304,0.0,220.0,0.0,192.6542712381346
24,175.3808201696712,43.60321974638026,0.0,220.0,0.0,233.64129779973206
25,187.3731622708674,64.79456227086746,0.0,220.0,0.0,294.54818633434746
26,207.83168475069414,90.9061847506942,0.0,220.0,0.0,380.0
27,223.43296909097808,0.0,0.0,220.0,140.94796909097806,380.0
28,205.5456461528678,250.0,0.0,220.0,5.841346152867686,615.0
29,242.81529058230808,250.0,0.0,220.0,39.72229058230812,850.0
30,257.6371521708272,0.0,0.0,220.0,359.25385217082726,850.0
