Hour,Pc,Pc_renewable,Pc_grid
0,27.21225903518723,27.21225903518723,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,220.12816649672766,220.12816649672766,0.0
5,250.0,250.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,60.14985057608763,60.14985057608763,0.0
23,54.37596989001304,54.37596989001304,0.0
24,43.60321974638026,43.60321974638026,0.0
25,64.79456227086746,64.79456227086746,0.0
26,90.9061847506942,90.9061847506942,0.0
27,0.0,0.0,0.0
28,250.0,250.0,0.0
29,250.0,250.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,59.518479047859785,59.518479047859785,0.0
47,0.0,0.0,0.0
48,23.660495303700145,23.660495303700145,0.0
49,64.92797913717067,64.92797913717067,0.0
50,104.87466096693174,104.87466096693174,0.0
51,160.37185648412242,160.37185648412242,0.0
52,150.47631629425783,150.47631629425783,0.0
53,250.0,250.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
